Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
NOVAK DJOKOVIC,TWILIGHT ZONE,FRANCOIS PIENAAR,FUGEES,FERNANDO ALONSO,14.0,14.0,14.0,14.0,14.0
PAD THAI,SEBASTIAN VETTEL,SERENA WILLIAMS,CASSPER NYOVEST,CURB YOUR ENTHUSIASM,12.0,12.0,12.0,12.0,12.0
SKEEM SAAM,TKZEE,ROCKY AUR RANI KI PREM KAHANI,GO FISH,BOKKOMS,12.0,12.0,12.0,12.0,12.0
LET'S TWIST AGAIN,"KAPTEIN, VAN DIE SAILOR ",FOOTBALL,TRIVIAL PURSUIT,SPUD,9.0,9.0,9.0,9.0,9.0
COLDPLAY,TOTO WOLF,BRAAIBROODJIES,BOILEROOM,AMAZING RACE,9.0,9.0,9.0,9.0,9.0
KABADDI,TRIATHLON,JON JONES,FRIDAY THE THIRTEENTH,BRUCE LEE,9.0,9.0,9.0,9.0,9.0
FIGHT CLUB,BRUCE WILLIS,BLACK MIRROR,NEON GENESIS EVANGELION,SISTER BETTINA,9.0,9.0,9.0,9.0,9.0
KEEPING UP WITH KARDASHIANS,SAUTE,VAALIE,QUAGGA,LOUIS VUITTON,9.0,9.0,9.0,9.0,9.0
PARKS AND RECREATION,GOOD BYE LENIN!,NKOSI SIKELEL' AFRIKA,LED ZEPPELIN,PAINT BRUSH,9.0,9.0,9.0,9.0,9.0
TOKOLOSHE,DOUBLE HOTDOG,BRIDGET JONES'S DIARY,THEY WERE ALL YELLOW,PICKLEBALL,9.0,9.0,9.0,9.0,9.0
RUN JOZI,GENERATIONS,LUCKY DUBE,AMERICAN PSYCHO,BARAKAT,9.0,9.0,9.0,9.0,9.0
CONNECT FOUR,DRI BUDDI,KWAITO,MUHAMMAD ALI,FOUR CORNERS,9.0,9.0,9.0,9.0,9.0
MICK JAGGER,KIMCHI,MUTI,"NO WOMAN, NO CRY",SKY NEWS,9.0,9.0,9.0,9.0,9.0
HOPSCOTCH,UMLUNGU,TOBEY MAGUIRE,BRUNO MARS,CHAPPIES,9.0,9.0,9.0,9.0,9.0
POKÉMON,THE CONGURING,BLINK 182,KNITTING,LAMELO BALL,9.0,9.0,9.0,9.0,9.0
