Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
MICK JAGGER,CURB YOUR ENTHUSIASM,OZZY OSBOURNE,HOWZIT,BOER MAAK 'N PLAN,9.0,9.0,9.0,9.0,9.0
YMCA,THE LAST AIRBENDER,CNA,MZANZI FO SHO,TOM YUM SOUP,9.0,9.0,9.0,9.0,9.0
MOHAMED SALAH,SUITS,SCRUB DADDY,MASCARA,SARMIE,9.0,9.0,9.0,9.0,9.0
CHRISTOPHER NOLAN,ADAM DRIVER,BIG MOUTH,CHESS,RUSSELL PETERS,9.0,9.0,9.0,9.0,9.0
STOKVEL,COMMUNITY,KAL HO NAA HO,LADLE,DESPACITO,9.0,9.0,9.0,9.0,9.0
MCDONALD'S,BLACK MIRROR,WESTLIFE,CITY OF GOD,THE LEGEND OF ZELDA,9.0,9.0,9.0,9.0,9.0
FENCING,TALIEP PETERSEN,PARASITE,ALL THE SINGLE LADIES,ATCHA,9.0,9.0,9.0,9.0,9.0
RYAN HIGA,TRUE DETECTIVE,WINDSURFING,X-FILES,SPIDER-MAN 3,9.0,9.0,9.0,9.0,9.0
DARK KNIGHT ,FERNANDO ALONSO,"HARDER, BETTER, FASTER, STRONGER",FAIRY TAIL,DEVIL WEARS PRADA ,9.0,9.0,9.0,9.0,9.0
ONE DIRECTION,THE A-TEAM,PRINCESS LEIA,SERGIO MENDEZ,PERCY MONTGOMERY,9.0,9.0,9.0,9.0,9.0
LAMELO BALL,CALL OF DUTY,DRAGONBALL Z,RONDA ROUSEY,DESPICABLE ME,9.0,9.0,9.0,9.0,9.0
BRENDA FASSIE,"DUCK, DUCK, GOOSE",TOP CHEF,ERLING HAALAND,THE FAST AND THE FURIOUS,9.0,9.0,9.0,9.0,9.0
QUENTIN TARANTINO,EISH,MARILYN MONROE,DEXTER'S LAB,CRAYFISH CURRY,9.0,9.0,9.0,9.0,9.0
BOKKOMS,IN THE 18 AREA,TIGER WOODS,GOKU,CRISTIANO RONALDO,9.0,9.0,9.0,9.0,9.0
SNORKELLING,DAVID KRAMER,THEY NOT LIKE US,NKOSI SIKELEL' AFRIKA,POKIMANE,9.0,9.0,9.0,9.0,9.0
WAYDE VAN NIEKERK,AMASIE,BARAKAT,LEAF BLOWER,FETA,9.0,9.0,9.0,9.0,9.0
UMLUNGU,LUNCH BAR,SLAP CHIPS,KEEPING UP WITH KARDASHIANS,CREED,8.0,8.0,8.0,8.0,8.0
