Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
KAKAPO,WESTERN CAPE,NAKED INSURANCE,JONTY RHODES,SCHABIR SHAIK,9.0,9.0,9.0,9.0,9.0
NVIDIA ,COLOR PURPLE,WILLIAM SMITH,GONE WITH THE WIND,HENRY FORD,9.0,9.0,9.0,9.0,9.0
CONSTELLATION,INDIA,MONKEY POX,WALL STREET CRASH,CHLOROPHYLL,9.0,9.0,9.0,9.0,9.0
SOMALIA,C MAJOR,AMISH,THE WESTERN CAPE,VACCINE,9.0,9.0,9.0,9.0,9.0
SHOEBILL,ORIGIN OF SPECIES,BETWEEN TWO WORLDS ,USB,GRAND CANYON,9.0,9.0,9.0,9.0,9.0
MANATEE,SUPERMAN,ROLEX,CLEOPATRA,CHICHEN ITZA,9.0,9.0,9.0,9.0,9.0
WOOF,GLOBAL POSITIONING SYSTEM,P. W. BOTHA,TOYOTA,AGAPANTHUS,9.0,9.0,9.0,9.0,9.0
MONTENEGRO,WIFI,SANTIAGO,VENEZUELA,EQUILIBRIUM,9.0,9.0,9.0,9.0,9.0
DESALINATION,VISA,LUXEMBOURG,TITANIC,PAUL KAGAME,9.0,9.0,9.0,9.0,9.0
ROBOTS,INTEL,AXOLOTL,CHICAGO,MAGIC JOHNSON,9.0,9.0,9.0,9.0,9.0
XI JINPING,HYDROGEN,STERLING GOLDEN,KENYA,SANLAM,9.0,9.0,9.0,9.0,9.0
JOHANN RUPERT,HARVEY WEINSTEIN,WALES,FACEBOOK,COMOROS,9.0,9.0,9.0,9.0,9.0
TOM BRADY,NEW YORK,NEW ZEALAND,2-FACTOR AUTHENTICATION,GOLDEN DISH,9.0,9.0,9.0,9.0,9.0
VODACOM,MORSE CODE,VIRAT KOHLI,KABUL,GERMANY,9.0,9.0,9.0,9.0,9.0
HELEN SUZMAN,ATOMIC HABITS,BEETLE,SAND DUNE,THE SHARD,9.0,9.0,9.0,9.0,9.0
THE DA,SLOTH,RAPPORT,VIETNAM,ALICE IN WONDERLAND,9.0,9.0,9.0,9.0,9.0
TONY BLAIR,FRACTALS,GLASGOW,EMPIRE STATE BUILDING,TRIANGLE ,9.0,9.0,9.0,9.0,9.0
SCELETIUM,BERING STRAIT,MICHELLE OBAMA,OSLO,EVAPORATION,9.0,9.0,9.0,9.0,9.0
MARK FISH,ASTRONOMY,QATAR AIRWAYS,BUCHU,WORLD WIDE WEB,9.0,9.0,9.0,9.0,9.0
THE CONSTITUTION ,BLACK DEATH,BUENOS AIRES,DAVID MABUZA,MATILDA,9.0,9.0,9.0,9.0,9.0
ALCHEMIST,JOHNSON & JOHNSON,LITTLE PRINCE,HULU,BOER WAR,9.0,9.0,9.0,9.0,9.0
GOLD RUSH,SAPIENS,HOUSE OF HADES,BRYAN HABANA,THERMODYNAMICS,9.0,9.0,9.0,9.0,9.0
