Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
DJIBOUTI,SUN INTERNATIONAL,PALAU,MY SISTER'S KEEPER,SHOEBILL,13.0,13.0,13.0,13.0,13.0
AHMED KATHRADA,TREASURE ISLAND,HANUKKAH,PAM GOLDING,THE THIRD REICH,12.0,12.0,12.0,12.0,12.0
ANDON CORD,DEATH STAR,ERAGON,VACCINE,WALES,9.0,9.0,9.0,9.0,9.0
SHARPEVILLE,LIBERATION DAY,CANBERRA,PORTUGAL,GREAT GATSBY,9.0,9.0,9.0,9.0,9.0
SICILY,TREVOR MANUEL,FIFA WORLD CUP,CHEVRON ,THE FIRST LADY,9.0,9.0,9.0,9.0,9.0
EDINBURGH,WAR AND PEACE,ELECTROMAGNETISM,THE SUBTLE ART OF NOT GIVING A F*CK,DISCHEM,9.0,9.0,9.0,9.0,9.0
GOLDEN RATIO,WEST AFRICA,UMHLANGA ROCKS,CARNIVORE,TREATY OF VERSAILLES,9.0,9.0,9.0,9.0,9.0
THE MIDDLE EAST,COMMONWEALTH GAMES,BOER WAR,PALACE OF VERSAILLES,MEMOIRS OF A GEISHA,9.0,9.0,9.0,9.0,9.0
VALENTINE'S DAY,NEWTON'S SECOND LAW,FORBIDDEN CITY,WOOF,KABUL,9.0,9.0,9.0,9.0,9.0
NITRATES,THE FÜHRER,CULTERY ,DESALINATION,PRIDE AND PREJUDICE,9.0,9.0,9.0,9.0,9.0
MEMORIAL DAY,QATAR AIRWAYS,I HAVE A DREAM,OSLO,SPANISH FLU,9.0,9.0,9.0,9.0,9.0
STETHOSCOPE,OCTAGON,ASTRONOMY,STOCKHOLM,PENNSYLVANIA,9.0,9.0,9.0,9.0,9.0
INTERNATIONAL WOMEN'S DAY,AZKABAN,JULY'S PEOPLE ,PEGASUS,D-DAY,9.0,9.0,9.0,9.0,9.0
AFRIKABURN,MARIKANA,O.R. TAMBO INTERNATIONAL AIRPORT,THOMAS EDISON,GUY FAWKES DAY,9.0,9.0,9.0,9.0,9.0
FRENCH REVOLUTION,FIFTY SHADES OF GREY,VIETNAM,TRAPEZIUM,PABLO PICASSO,9.0,9.0,9.0,9.0,9.0
MICROPHONE,LUXEMBOURG,OLD MUTUAL,LESOTHO,BURGER'S DAUGHTER ,9.0,9.0,9.0,9.0,9.0
