Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
VPN,THERESA MAY,MOSQUITO,CRUSADES,ORIGIN OF SPECIES,9.0,9.0,9.0,9.0,9.0
BRONZE,WEASEL,LUXEMBOURG,BLUETOOTH,ANTON RUPERT,9.0,9.0,9.0,9.0,9.0
HILLBROW,GEORGE,HOUSE OF HADES,AK-47,CLICKS,9.0,9.0,9.0,9.0,9.0
PLATYPUS,SHELL,ELECTRIC DAISY CARNIVAL,COSATU,WOLF,9.0,9.0,9.0,9.0,9.0
BERLIN WALL,KANGAROO,MARDI GRAS,GREAT BARRIER REEF,SANTIAGO,9.0,9.0,9.0,9.0,9.0
SASOL,BUMBLEBEE,TONGA,SUDAN,MOUNT FUJI,9.0,9.0,9.0,9.0,9.0
BLOCKCHAIN,GOLDEN GATE BRIDGE,WALRUS,GAUSSIAN DISTRIBUTION,INTERNATIONAL WOMEN'S DAY,8.0,8.0,8.0,8.0,8.0
TERRACOTTA ARMY,NATIONAL WOMEN'S DAY,"FATHER, SON, HOLY SPIRIT",MARS,KOMODO DRAGON,8.0,8.0,8.0,8.0,8.0
FIVE SENSES,WINNIE MANDELA,ZAPIRO,THE OUTSIDERS,THE SHARD,8.0,8.0,8.0,8.0,8.0
THE SUPER BOWL,ARAB SPRING,CAPE ALOE,HOLLAND,DESMOND TUTU,8.0,8.0,8.0,8.0,8.0
AFRIKABURN,"READY, SET, GO",LIBERATION DAY,OXYGEN,BITE THE BULLET,8.0,8.0,8.0,8.0,8.0
PAULO COELHO,BOXING DAY,RENAISSANCE,GLOBAL POSITIONING SYSTEM,USB,8.0,8.0,8.0,8.0,8.0
THE COMMONWEALTH GAMES,COST AN ARM AND A LEG,ZEBRA,DOCSIDE,GRAHAMSTOWN,8.0,8.0,8.0,8.0,8.0
GREAT GATSBY,ICEBERG,VALENTINE'S DAY,PIETER GROENEWALD,BIG MAGIC,8.0,8.0,8.0,8.0,8.0
SOUTH AMERICA,POWERBANK,INDEPENDENCE DAY,CAPE PROTEA,AINSLEY HARRIOTT,8.0,8.0,8.0,8.0,8.0
ROSH HASHANAH,THE ORANGE RIVER,CULTERY ,PEARL HARBOUR,WORLD WAR I,8.0,8.0,8.0,8.0,8.0
X-RAY,CHLOROPHYLL,JAMIE OLIVER,46664,EVAPORATION,8.0,8.0,8.0,8.0,8.0
LET THE CAT OUT OF THE BAG ,BARACK OBAMA,HOLI,RIHANNA,RHYTHM,8.0,8.0,8.0,8.0,8.0
MACBETH,GOOD FRIDAY,THE CONSTITUTION ,DAY OF THE DEAD,JEEP,8.0,8.0,8.0,8.0,8.0
NADINE GORDIMER,HULU,MARK SHUTTLEWORTH,THE FÜHRER,BP,8.0,8.0,8.0,8.0,8.0
FREEDOM DAY,IPAD,SANDTON,SINKHOLE,CAPYBARA,8.0,8.0,8.0,8.0,8.0
CLEOPATRA,NAMAQUALAND,DEATH STAR,CYRIL RAMAPHOSA,EGYPT,8.0,8.0,8.0,8.0,8.0
CHRIS HANI,HALLOWEEN,MATILDA,LESOTHO,RAT KING,8.0,8.0,8.0,8.0,8.0
PAUL KAGAME,XHOSA,JPMORGAN,THE VIKINGS,FIJI,8.0,8.0,8.0,8.0,8.0
STOCKHOLM,METAPHOR,RUBIK'S CUBE,THE BRITISH OPEN,CONSTELLATION,8.0,8.0,8.0,8.0,8.0
OLD MUTUAL,TORNADO,ALICE IN WONDERLAND,GORILLA,CROOKED KINGDOM,8.0,8.0,8.0,8.0,8.0
TAMAGOTCHI,SOUTH KOREA,CAIRO,PHILADELPHIA,THE APOSTLES,8.0,8.0,8.0,8.0,8.0
K53,GLASGOW,SUN CITY,CHINA FLOODS,CENTRAL PARK,8.0,8.0,8.0,8.0,8.0
MANCHESTER,OLYMPIAD,POLYMER,ASICS,ATOMIC HABITS,8.0,8.0,8.0,8.0,8.0
MY SISTER'S KEEPER,THE FIRST LADY,STAPLER,FIFA WORLD CUP,NEUTRON,8.0,8.0,8.0,8.0,8.0
3D PRINTING,CHILE,COLOR PURPLE,MONKEY POX,DIWALI,8.0,8.0,8.0,8.0,8.0
CAPITEC,SHATTERPRUFE,PARROT,DURBAN,AXOLOTL,8.0,8.0,8.0,8.0,8.0
KABUL,JACK AND THE BEANSTALK,HOLOCAUST,WAVES,LEMUR,8.0,8.0,8.0,8.0,8.0
PUMA,VIETNAM WAR,HOODIE,PANGOLIN,OAK TREE,8.0,8.0,8.0,8.0,8.0
OTP,THE NORTHERN CAPE,TRENCH TOWN,CALABASH,THE WESTERN CAPE,8.0,8.0,8.0,8.0,8.0
TRIANGLE ,MOMENTUM,TREASURE ISLAND,THE MARTIAN,EAST LONDON,8.0,8.0,8.0,8.0,8.0
SLOTH,JOHN STEENHUISEN,BURGER'S DAUGHTER ,LEBONON,HELEN ZILLE,8.0,8.0,8.0,8.0,8.0
GLACIER,AMISH,THOMAS EDISON,DISCOVERY,EPSTEIN ISLAND,8.0,8.0,8.0,8.0,8.0
MOUNT RUSHMORE,COBRA,DURBS,TOYOTA,NITRATES,8.0,8.0,8.0,8.0,8.0
IBUPROFEN,SIX-DAY WAR,GOOGLE EARTH,OLIVER TAMBO,DEVIL'S PEAK,8.0,8.0,8.0,8.0,8.0
ENGLAND,DUNNING–KRUGER EFFECT,DIVISION,SHRIMP,SHAKA,8.0,8.0,8.0,8.0,8.0
MICROPHONE,MAZDA,THE HUNGER GAMES,SLAUGHTERHOUSE-FIVE,NICKY OPPENHEIMER,8.0,8.0,8.0,8.0,8.0
RAMADAN,CTRL-C,NANOTECHNOLOGY,CAT IN THE HAT,CHRIST THE REDEEMER,8.0,8.0,8.0,8.0,8.0
KENYA,"LIONS, TIGERS, BEARS, OH MY!",DESERT,FREAKONOMICS,AUSTRALIA,8.0,8.0,8.0,8.0,8.0
