Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
KALEIDOSCOPE,VOLKSTAAT,FERNANDO ALONSO,MY SISTER'S KEEPER,AFRIKAANS LANGUAGE MONUMENT,14.0,14.0,14.0,14.0,14.0
GREAT EXPECTATIONS,TRAPEZIUM,LYNX,GREENPEACE,XI JINPING,13.0,13.0,13.0,13.0,13.0
SPACE RACE,BANTU LAND ACT,COLOR PURPLE,JOHN SMIT,STERLING GOLDEN,12.0,12.0,12.0,12.0,12.0
BETHLEHEM,POCONO MOUNTAINS,MÖBIUS STRIP,OSLO,CHRIST THE REDEEMER,12.0,12.0,12.0,12.0,12.0
GOLDEN RATIO,MZOLI'S,SHARPEVILLE,GOLD RUSH,KYLIAN MBAPPÉ,10.0,10.0,10.0,10.0,10.0
LANCE ARMSTRONG,VLADIMIR LENIN,STONE COLD STEVE AUSTIN,MONTENEGRO,FLINT,9.0,9.0,9.0,9.0,9.0
ALCHEMY,AZKABAN,PAULO COELHO,MADRID,MOTHERBOARD,9.0,9.0,9.0,9.0,9.0
TURING MACHINE,CHRIS HANI,BMW,CHICAGO,"THE LION, THE WITCH AND THE WARDROBE",9.0,9.0,9.0,9.0,9.0
TRIANGLE ,PERCY MONTGOMERY,GRAHAMSTOWN,OLIVER TAMBO,RENAULT,9.0,9.0,9.0,9.0,9.0
ANGLO AMERICAN,SAUDI ARABIA,COLOSSEUM,ANGLO-ZULU WAR,THE MIDDLE EAST,9.0,9.0,9.0,9.0,9.0
BLOCKCHAIN,ICEBERG,WILLIAM SMITH,KABUL,AT&T,9.0,9.0,9.0,9.0,9.0
BUCHU,PERKS OF BEING A WALLFLOWER,CARBON,HARVARD,EMBRYO,9.0,9.0,9.0,9.0,9.0
SANTIAGO,TRANSKEI,INDUSTRIAL REVOLUTION,BLACK BEAUTY,LITTLE PRINCE,9.0,9.0,9.0,9.0,9.0
KOBE BRYANT,HUNGER GAMES,ALISSON BECKER,IPHONE,OSAKA,9.0,9.0,9.0,9.0,9.0
MONKEY POX,DRI BUDDI,SAND DUNE,DESALINATION,MOTHER TERESA,9.0,9.0,9.0,9.0,9.0
SLAUGHTERHOUSE-FIVE,SOCIOLOGY,C MAJOR,PEACOCK,WAKANDA,9.0,9.0,9.0,9.0,9.0
BOER WAR,FAUNA AND FLORA,KAIZER CHIEFS,THE HUNGER GAMES,SÃO TOMÉ AND PRÍNCIPE,9.0,9.0,9.0,9.0,9.0
CLOCKWORK PRINCESS,WOOF,MAHATMA GANDHI,SHENZHEN,ZAPIRO,9.0,9.0,9.0,9.0,9.0
