Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
DEMON SLAYER,REQUIEM FOR A DREAM ,LIZA KOSHY,WESTWORLD,MUTI,14.0,14.0,14.0,14.0,14.0
KOMBI,JUST KEEP SWIMING,KUCH KUCH HOTA HAI,PULP FICTION,SARMIE,10.0,10.0,10.0,10.0,10.0
SESAME STREET,"ROCK, PAPER, SCISSORS","YOU ARE MY FIRE, MY ONE DESIRE",ALTERED CARBON,HOUSE OF CARDS,9.0,9.0,9.0,9.0,9.0
LET IT BURN,20 QUESTIONS,"NO WOMAN, NO CRY",KAL HO NAA HO,KURT COBAIN,9.0,9.0,9.0,9.0,9.0
TKZEE,TEQUILA,30 SECONDS ,POTJIEKOS,ASIMBONANGA,9.0,9.0,9.0,9.0,9.0
BOBOTIE,KILL BILL,NEW GIRL,PRINCESS MONONOKE,YELLOW SUBMARINE,9.0,9.0,9.0,9.0,9.0
BRAAIBROODJIES,MARLON BRANDO,DRSKE,BREAKING BAD,CONNECT FOUR,9.0,9.0,9.0,9.0,9.0
BAFANA BAFANA,BAYWATCH,KABADDI,"CROUCHING TIGER, HIDDEN DRAGON",YEBO,9.0,9.0,9.0,9.0,9.0
TARZAN,GILMORE GIRLS,LIGHTHOUSE,TWILIGHT ZONE,THANKSGIVING,9.0,9.0,9.0,9.0,9.0
DAY OF THE DEAD,ONE PIECE,THE BOLD AND THE BEAUTIFUL,VOLLEYBALL,DANNY K,9.0,9.0,9.0,9.0,9.0
MEMORIAL DAY,CNA,VOETSTOOTS,FINAL FANTASY,THE OKTOBERFEST,9.0,9.0,9.0,9.0,9.0
VALENTINE'S DAY,ELECTRIC DAISY CARNIVAL,TOM HOLLAND,JULIA ROBERTS,GRAND BUDAPEST HOTEL,9.0,9.0,9.0,9.0,9.0
SILENT NIGHT,EUPHORIA,FLAKE,AINSLEY HARRIOTT,DURAN DURAN,9.0,9.0,9.0,9.0,9.0
PAIN AND GLORY,KING CONE,UMLUNGU,LOVE ISLAND,SUPERSTORE,9.0,9.0,9.0,9.0,9.0
VIRGIN MOBILE,PEWDIEPIE,SELFIE STICK,AMERICAN PSYCHO,DALTJIES,9.0,9.0,9.0,9.0,9.0
BARAKAT,CARA DELEVINGNE,HOT POTATO,CHRIS PRATT,SERGIO MENDEZ,9.0,9.0,9.0,9.0,9.0
COWBOY BEBOP,BEN 10,PARKOUR,SALEH BBQ TONIGHT ,BOMPI,9.0,9.0,9.0,9.0,9.0
HAN SOLO,KANYE WEST,QUEER EYE FOR THE STRAIGHT GUY,JOU MA SE,MERYL STREEP,9.0,9.0,9.0,9.0,9.0
FUTURAMA,SKYRIM,COCONUT MILK,OOPS!... I DID IT AGAIN,FOUR CORNERS,9.0,9.0,9.0,9.0,9.0
A TORNADO FLEW AROUND MY HOME,DIE HARD,GENERATIONS,SMOSH,TIRAMISU,9.0,9.0,9.0,9.0,9.0
ROSH HASHANAH,DASSIE,MICK JAGGER,BOKKE,BLOOD DIAMOND,9.0,9.0,9.0,9.0,9.0
STAR TREK,CHARADES,ISMAËL LÔ,JALAPEÑO,MOCHA,9.0,9.0,9.0,9.0,9.0
PHO,MAD MEN,BANG BANG BANG,CHAMPAGNE PAPI,GEES,9.0,9.0,9.0,9.0,9.0
PINA COLADA,PAD THAI,DEVIL WEARS PRADA ,MASCARA,PEARL JAM,9.0,9.0,9.0,9.0,9.0
UNO,TOM HANKS,WEST WING,"HARDER, BETTER, FASTER, STRONGER",PICKLEBALL,9.0,9.0,9.0,9.0,9.0
HAND WASH,30 ROCK,BASTILLE DAY,WOODEN SPOON,CRAZY STORE,9.0,9.0,9.0,9.0,9.0
WORLD OF WARCRAFT,MEGAN FOX,NATIONAL WOMEN'S DAY,"WE WILL, WE WILL ROCK YOU",LIBERATION DAY,9.0,9.0,9.0,9.0,9.0
CLUEDO,BLEACH,WIZARDZ,JENNIFER LAWRENCE,KING OF THE HILL,9.0,9.0,9.0,9.0,9.0
MIKE TYSON,KUROSAKI ICHIGO,RONDAVEL,MOZZARELLA,SNORKELLING,9.0,9.0,9.0,9.0,9.0
FORMULA 1,KNIGHT RIDER,GOULASH,OPPIKOPPI,THE WITCHER,9.0,9.0,9.0,9.0,9.0
MARDI GRAS,TREVOR NOAH,AMAZING RACE,JOHNNY CLEGG,PEKING DUCK,9.0,9.0,9.0,9.0,9.0
ALEXANDER FLEMING,BOXING DAY,PEPSI MAX,KING OF THE AIR,7DE LAAN,9.0,9.0,9.0,9.0,9.0
MCDONALD'S,DOOM,TOM YUM SOUP,KFC,CAUSE I’M MR. BRIGHTSIDE,8.0,8.0,8.0,8.0,8.0
SELLOTAPE,LUCIANO PAVAROTTI,AMERICAN IDOL,"I'M BLUE, DA BA DEE DA BA DI",TOP CHEF,8.0,8.0,8.0,8.0,8.0
CASPER,KAI CENAT,PARASITE,STEERS,THE AVENGERS,8.0,8.0,8.0,8.0,8.0
ATCHA,TRIFLE,JACK JOHNSON,JOL,STEP BROTHERS ,8.0,8.0,8.0,8.0,8.0
CURB YOUR ENTHUSIASM,EK WIL HUIS TOE GAAN,GODFATHER,PUMPED UP KICKS ,TIMOTHÉE CHALAMET,8.0,8.0,8.0,8.0,8.0
M-NET,SISTERHOOD OF THE TRAVELING PANTS,PORTISHEAD,SHOPRITE,SANTA CLAUS,8.0,8.0,8.0,8.0,8.0
RAY BROWN,REDBULL,ALL I WANT FOR CHRISTMAS IS YOU,LUNCH BAR,TERMINATOR,8.0,8.0,8.0,8.0,8.0
LOUIS VUITTON,CHAPPIES,DENZEL WASHINGTON,BLACK MIRROR,DROP IT LIKE IT'S HOT,8.0,8.0,8.0,8.0,8.0
EID ,MASTERCHEF,LOONEY TUNES,DJANGO UNCHAINED,RINGO STARR,8.0,8.0,8.0,8.0,8.0
KWAITO,CASSPER NYOVEST,CASEY NEISTAT,TENNIS,CIABATTA,8.0,8.0,8.0,8.0,8.0
GANGNAM STYLE,GRAVE OF THE FIREFLIES,GLOBAL WARMING,MIRIAM MAKEBA,CHESS,8.0,8.0,8.0,8.0,8.0
IN THE 18 AREA,JOSHUA DOORE,HANGMAN,FETA,THE BOYS,8.0,8.0,8.0,8.0,8.0
