Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
ARAB SPRING,CROOKED KINGDOM,NEW YEAR'S EVE,ORIGIN OF SPECIES,HARVEST FESTIVAL,10.0,10.0,10.0,10.0,10.0
PERKS OF BEING A WALLFLOWER,ARGENTINA,NANOTECHNOLOGY,NITROGEN,HENDRICK VERWOERD,9.0,9.0,9.0,9.0,9.0
JULY'S PEOPLE ,HELEN SUZMAN,CHEETAH,WILDEBEEST,TELEGRAM,9.0,9.0,9.0,9.0,9.0
DAVID AND GOLIATH,NAMAQUALAND,FAHRENHEIT 451,LUNAR NEW YEAR,PRINCE,9.0,9.0,9.0,9.0,9.0
CLICKS,BASTILLE DAY,LYNX,ROMAN EMPIRE,HOT SPRINGS,9.0,9.0,9.0,9.0,9.0
KABUL,MEXICO CITY,MALCOLM GLADWELL,LISBON,PEARL HARBOUR,9.0,9.0,9.0,9.0,9.0
SISTINE CHAPEL,FIELA SE KIND,DISCHEM,SUPERMAN,FAULT IN OUR STARS,9.0,9.0,9.0,9.0,9.0
THE THIRD REICH,VENEZUELA,GBV,COMPLEX NUMBERS,THE CONSTITUTION ,9.0,9.0,9.0,9.0,9.0
THE OSCARS,HOODIE,BORIS JOHNSON,FIJI,ANDON CORD,9.0,9.0,9.0,9.0,9.0
DUNE,MARIKANA,CAPE COLONY,THE WESTERN CAPE,GROUP AREAS ACT,9.0,9.0,9.0,9.0,9.0
ALICE IN WONDERLAND,DR SEBI,BLUE CRANE,ANTIBIOTICS,GEOMETRY,9.0,9.0,9.0,9.0,9.0
THE LONDON EYE,NASPERS,MOWBRAY SUBURBS,STETHOSCOPE,AFRICAN WORMWOOD,9.0,9.0,9.0,9.0,9.0
THE APOSTLES,LACTOSE INTOLERANT,OXIDATION,MASSACHUSETTS,NORTH AMERICA,9.0,9.0,9.0,9.0,9.0
MACBETH,FRANKLIN D. ROOSEVELT,CHEMOTHERAPY,SNOW LEOPARD,VISA,9.0,9.0,9.0,9.0,9.0
KUDU,CALABASH,SOVIET UNION,DOCSIDE,MICROSOFT,9.0,9.0,9.0,9.0,9.0
LUXEMBOURG,RED PANDA,LOVE LANGUAGES,AXOLOTL,SHRIMP,9.0,9.0,9.0,9.0,9.0
V&A WATERFRONT,THANKSGIVING,SEPTEMBER 11,GARDEN MOLE,TONGA,8.0,8.0,8.0,8.0,8.0
CARBON,GAYTON MCKENZIE,FUNGUS,CAPE ALOE,PRIDE AND PREJUDICE,8.0,8.0,8.0,8.0,8.0
THE RED SEA,ROBERT MUGABE,RIVONIA TRIAL,ISRAEL,SLOTH,8.0,8.0,8.0,8.0,8.0
HIGGS BOSON,PYTHAGOREAN THEOREM,EMPIRE STATE BUILDING,WEASEL,ATHLONE,8.0,8.0,8.0,8.0,8.0
CHICHEN ITZA,NEW YORK,PHOTOSYNTHESIS,VENUS,KITE RUNNER,8.0,8.0,8.0,8.0,8.0
PERU,WILDERNESS,SPANISH FLU,I HAVE A DREAM,CRUSADES,8.0,8.0,8.0,8.0,8.0
INTERNATIONAL WOMEN'S DAY,GREENPEACE,ASICS,"LIONS, TIGERS, BEARS, OH MY!","FATHER, SON, HOLY SPIRIT",8.0,8.0,8.0,8.0,8.0
INDIA,HYDROGEN,E COLI,HILLBROW,GUY FAWKES DAY,8.0,8.0,8.0,8.0,8.0
THE FÜHRER,SATRIX,GOOD FRIDAY,GAUTENG,FATHER'S DAY,8.0,8.0,8.0,8.0,8.0
THE BIG HOLE ,TWO OCEANS MARATHON,KALEIDOSCOPE,CUMULUS CLOUDS,BARACK OBAMA,8.0,8.0,8.0,8.0,8.0
KINDLE,NATIONAL WOMEN'S DAY,CHINESE NEW YEAR,MECHANICAL KEYBOARD,THERESA MAY,8.0,8.0,8.0,8.0,8.0
DURBAN JULY,LIMPOPO,ARMADILLO,CUM BOOKS,THOMAS EDISON,8.0,8.0,8.0,8.0,8.0
HALLE BERRY,DSTV DECODER,BREAKING THE ICE,GABORONE,EGYPT,8.0,8.0,8.0,8.0,8.0
NEIL ARMSTRONG,FOSSIL,THE ZAMBEZI RIVER,SINKHOLE,BLOCKCHAIN,8.0,8.0,8.0,8.0,8.0
GREAT WALL OF CHINA,APARTHEID,NEW ZEALAND,LAOS,HENRY FORD,8.0,8.0,8.0,8.0,8.0
TWELFTH NIGHT,THE SUBTLE ART OF NOT GIVING A F*CK,HARVEY WEINSTEIN,CHRISTMAS DAY,FAUNA AND FLORA,8.0,8.0,8.0,8.0,8.0
K53,TOMORROWLAND,HYPOTHESIS,THE HUNGER GAMES,KANGAROO,8.0,8.0,8.0,8.0,8.0
THE MIDNIGHT LIBRARY,WORKERS’ DAY,ARISTOTLE,RACCOON,HELEN ZILLE,8.0,8.0,8.0,8.0,8.0
MANCHESTER,RAPPORT,ORANIA,JOHN STEENHUISEN,LOUIS ARMSTRONG,8.0,8.0,8.0,8.0,8.0
MANATEE,INDEPENDENCE DAY,MZOLI'S,VALENTINE'S DAY,DEVIL'S PEAK,8.0,8.0,8.0,8.0,8.0
SASOL,BOER WAR,ROSH HASHANAH,DIWALI,SOUTH KOREA,8.0,8.0,8.0,8.0,8.0
AK-47,STATUE OF LIBERTY,MADRID,"THE LION, THE WITCH AND THE WARDROBE",PHILADELPHIA,8.0,8.0,8.0,8.0,8.0
SOCRATES,FLYING SQUIRREL,NSFAS,JIMI HENDRIX,CARNIVORE,8.0,8.0,8.0,8.0,8.0
THE ORANGE RIVER,STANDARD BANK,OLIVER TAMBO,TRANSKEI,NELSON MANDELA,8.0,8.0,8.0,8.0,8.0
MEMOIRS OF A GEISHA,JAKARTA,APPLE WATCH,CAPE PROTEA,ITALY,8.0,8.0,8.0,8.0,8.0
THE MARTIAN,AMISH,SEOUL,GRAND CANYON,PARIS,8.0,8.0,8.0,8.0,8.0
PANGOLIN,QUEENSTOWN,FACEBOOK,VLADIMIR LENIN,CHAD,8.0,8.0,8.0,8.0,8.0
EAST LONDON,HUNGER GAMES,CTRL-V,MORSE CODE,ERITREA,8.0,8.0,8.0,8.0,8.0
TRIANGLE ,COLOR PURPLE,PANGEA,CLEOPATRA,MEXICO,8.0,8.0,8.0,8.0,8.0
MOUNT RUSHMORE,GIRAFFE,PAUL KAGAME,ALPACA,THE PYRAMIDS,8.0,8.0,8.0,8.0,8.0
BUENOS AIRES,WALL STREET CRASH,DIARY OF A WIMPY KID,LED,HELIUM,8.0,8.0,8.0,8.0,8.0
MATILDA,KNYSNA,SPACE RACE,EGOLI,ENGLAND,8.0,8.0,8.0,8.0,8.0
NADINE GORDIMER,POLYMER,ST. PATRICK'S DAY,CHROMOSOME,WAKANDA,8.0,8.0,8.0,8.0,8.0
UNTAMED,DRIFTWOOD,AUTOMATIC,COLD WAR,BLUETOOTH,8.0,8.0,8.0,8.0,8.0
PHILOSOPHY,PRINCE WILLIAM,POWERBANK,WELLINGTON,NETHERLANDS,8.0,8.0,8.0,8.0,8.0
DESERT,BLACK DEATH,ALPHABET,THE OUTSIDERS,TIM COOK,8.0,8.0,8.0,8.0,8.0
SLACK,MOTHER TERESA,KILLER WHALE,NVIDIA ,FRACTALS,8.0,8.0,8.0,8.0,8.0
EASTER MONDAY,SAVANNA,FRANKENSTEIN,PIETER GROENEWALD,KARL MARX,8.0,8.0,8.0,8.0,8.0
KING OF THE AIR,DURBAN,MELBOURNE,BITE THE BULLET,METAMORPHIC ROCK,8.0,8.0,8.0,8.0,8.0
AUDI,2-FACTOR AUTHENTICATION,ROCHE,NATO,SPAIN,8.0,8.0,8.0,8.0,8.0
NAKED INSURANCE,BOSTON,THE INTERNET,LABOUR DAY,JOHANN RUPERT,8.0,8.0,8.0,8.0,8.0
WIKIPEDIA,THAILAND,BETWEEN TWO WORLDS ,46664,LOS ANGELES,8.0,8.0,8.0,8.0,8.0
FIFTY SHADES OF GREY,LITTLE PRINCE,LIGHTING CABLE,SAMSUNG,TERRACOTTA ARMY,8.0,8.0,8.0,8.0,8.0
WAR AND PEACE,LAST CHRISTMAS,PENICILLIN,HITCHHIKER'S GUIDE TO GALAXY,CHRISTMAS EVE,8.0,8.0,8.0,8.0,8.0
THE GREAT TREK ,ROBSON WALTON,CULTERY ,EQUILIBRIUM,CHLOROPHYLL,8.0,8.0,8.0,8.0,8.0
BOXING DAY,AVALANCHE,IBUPROFEN,PAULO COELHO,STARLINK,8.0,8.0,8.0,8.0,8.0
FREE STATE,FABLE,GREAT BRITAIN,BISTRO,GRAÇA MACHEL,8.0,8.0,8.0,8.0,8.0
AMBER,THE FIRST LADY,TOYOTA,GONE WITH THE WIND,DIVISION,8.0,8.0,8.0,8.0,8.0
GETTYSBURG ADDRESS,WORLD WIDE WEB,RAT KING,SOWETO UPRISING,TELESCOPE,8.0,8.0,8.0,8.0,8.0
UNITED NATIONS,SAN SALVADOR,SOUTH AMERICA,BALL IS IN YOUR COURT,NEW DELHI,8.0,8.0,8.0,8.0,8.0
ARTIFICIAL INTELLIGENCE,POCONO MOUNTAINS,GLACIER,AFRIKABURN,EVAPORATION,8.0,8.0,8.0,8.0,8.0
THE SUEZ CANAL,CHRIS BARNARD,THE DA,WILLIAM SMITH,MONTENEGRO,8.0,8.0,8.0,8.0,8.0
NARNIA,SCELETIUM,MOUNT FUJI,CAPE OF GOOD HOPE,KOMODO DRAGON,8.0,8.0,8.0,8.0,8.0
STENOGRAPHY,ISIXHOSA,YOUTUBE,YAMAHA,SWITZERLAND,8.0,8.0,8.0,8.0,8.0
OLD MUTUAL,RIO CARNIVAL,NOKIA 3310,GRILLERS,HONDA,8.0,8.0,8.0,8.0,8.0
MOTHER'S DAY,THE SHARD,TRAFFIC LIGHT,RHYTHM,5G,8.0,8.0,8.0,8.0,8.0
MARK SHUTTLEWORTH,IKIGAI,BUCHU,IPAD,SAUDI ARABIA,8.0,8.0,8.0,8.0,8.0
QUANTUM COMPUTING,GALILEO GALILEI,BLACK BEETLE,OAK TREE,MINI COOPER,8.0,8.0,8.0,8.0,8.0
RAMADAN,LORD OF THE RINGS,GLASGOW,MAGNUM OPUS,ZEBRA,8.0,8.0,8.0,8.0,8.0
GLOBAL WARMING,TREATY OF VERSAILLES,GREEN EGGS AND HAM,NORWAY,HOLOGRAM,8.0,8.0,8.0,8.0,8.0
AERODYNAMICS,JACK AND THE BEANSTALK,EIFFEL TOWER,US ROUTE 66,CHRIS HANI,8.0,8.0,8.0,8.0,8.0
COBALT,NOTRE DAME,EMBRYO,DEATH STAR,BIG MAGIC,8.0,8.0,8.0,8.0,8.0
PAM GOLDING,LESOTHO,ADVENTURES OF HUCKLEBERRY FINN,RHODES MUST FALL,MIDRAND,8.0,8.0,8.0,8.0,8.0
FIBONACCI SEQUENCE,THE MOON LANDING,INDUSTRIAL REVOLUTION,TAMAGOTCHI,DALLAS,8.0,8.0,8.0,8.0,8.0
