Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
MAKE THE CIRCLE BIGGER,MARIE CLAIRE,I WANT TO BREAK FREE,UCHIHA SASUKE,TIRAMISU,13.0,13.0,13.0,13.0,13.0
RONDAVEL,TWILIGHT ZONE,BOULDERING,JOHNNIE WALKER,SHANE DAWSON,12.0,12.0,12.0,12.0,12.0
BURGER KING,SILENCE OF LAMBS,ULTIMATE FRISBEE,"EARTH, WIND AND FIRE",VAALIE,9.0,9.0,9.0,9.0,9.0
IN THE 18 AREA,FAMILY GUY,AFRIKABURN,"WP, JOU LEKKER DING",LET IT BURN,9.0,9.0,9.0,9.0,9.0
DESPERATE HOUSEWIVES,NOTTING HILL,CALL OF DUTY,CRAZY STORE,RUN JOZI,9.0,9.0,9.0,9.0,9.0
MASCARA,WHISKEY SOUR,20 QUESTIONS,KOEKSISTERS,DAY OF THE DEAD,9.0,9.0,9.0,9.0,9.0
TAKKIES,BAD BUNNY,ALADDIN,MASTERCHEF,TWIN PEAKS,9.0,9.0,9.0,9.0,9.0
DR SEBI,HERITAGE DAY ,DEMON SLAYER,TETRIS,BASSEM YOUSSEF,9.0,9.0,9.0,9.0,9.0
INVICTUS,HULA HOOP,DURAN DURAN,MUVHANGO,THE PENGUIN,9.0,9.0,9.0,9.0,9.0
PINA COLADA,BRAAIBROODJIES,PSYCHO,LEMON CREAMS,PRISON BREAK,9.0,9.0,9.0,9.0,9.0
RINGO STARR,GET OUT,SILENT NIGHT,PICKLEBALL,LIKE A G6,9.0,9.0,9.0,9.0,9.0
WINDHOEK LAGER,ANGELINA JOLIE,POKIMANE,MOCHA,BOEREWORS,9.0,9.0,9.0,9.0,9.0
SMILEY,FROZEN,WORCESTERSHIRE SAUCE,FRUIT CAKE,CHRIS EVANS,9.0,9.0,9.0,9.0,9.0
X-FILES,BBC,BENEDICT CUMBERBATCH,CINDERELLA MAN,SURVIVOR,9.0,9.0,9.0,9.0,9.0
YOUTH DAY,FRIKKADEL,HOCKEY,BLACK MIRROR,ELECTRIC DAISY CARNIVAL,9.0,9.0,9.0,9.0,9.0
PAD THAI,FINDING NEMO,BARAKAT,HUMAN RIGHTS DAY ,PAIN AND GLORY,9.0,9.0,9.0,9.0,9.0
BLACK PANTHER,THE LAST AIRBENDER,CARACARA,BADMINTON,SPIDER-MAN,9.0,9.0,9.0,9.0,9.0
WESTWORLD,THE LITTLE MERMAID,HANDBALL,LUNAR NEW YEAR,MEGAN FOX,9.0,9.0,9.0,9.0,9.0
UNO,1 2 STEP,SIMON SAYS,CATAN,TOMORROWLAND,9.0,9.0,9.0,9.0,9.0
WOODEN SPOON,CURB YOUR ENTHUSIASM,FATIMA SYDOW,THE KARATE KID,FOUR CORNERS,9.0,9.0,9.0,9.0,9.0
OBELISK,TOO GOOD AT GOODBYES,PICTIONARY,THE CRICKET WORLD CUP,CREED,9.0,9.0,9.0,9.0,9.0
BOKKOMS,KLOPSE,WORKERS’ DAY,DOOM,KAI CENAT,9.0,9.0,9.0,9.0,9.0
"HARDER, BETTER, FASTER, STRONGER",SARMIE,MAHER ZAIN,WOOLWORTHS,ZENDAYA,9.0,9.0,9.0,9.0,9.0
QUICHE,CHESS,NEON GENESIS EVANGELION,BROKEN TELEPHONE,STRANGER THINGS,9.0,9.0,9.0,9.0,9.0
LUCKY DUBE,KLIPDRIFT,MAMPARA,GEES,MCDONALD'S,9.0,9.0,9.0,9.0,9.0
SISTER BETTINA,GOODFELLAS,WOODY ALLEN,5 SECOND RULE,YMCA,9.0,9.0,9.0,9.0,9.0
VOETSEK,PEPPERMINT CRISP,THUNEE,MONKEY D. LUFFY,V FOR VENDETTA,9.0,9.0,9.0,9.0,9.0
PESTO,KEANU REEVES,TOMB RAIDER,LIZA KOSHY,LUCIANO PAVAROTTI,9.0,9.0,9.0,9.0,9.0
ASIMBONANGA,BUTTERNUT SOUP,THE WITCHER,ISIDINGO,COCA-COLA,9.0,9.0,9.0,9.0,9.0
DANNY K,TABLE TENNIS,WEST WING,KANYE WEST,CARPENTERS,9.0,9.0,9.0,9.0,9.0
FINAL FANTASY,MOTHER'S DAY,SKEEM SAAM,BLACKPINK,THE SMURFS,9.0,9.0,9.0,9.0,9.0
BAYWATCH,GAME OF THRONES,BACKGAMMON,RYAN HIGA,KUROSAKI ICHIGO,9.0,9.0,9.0,9.0,9.0
CRAYFISH CURRY,BASTILLE DAY,THE WIRE,A TORNADO FLEW AROUND MY HOME,EDGARS,9.0,9.0,9.0,9.0,9.0
EVERYBODY LOVES RAYMOND,ALTERED CARBON,EISH,TRIATHLON,KNITTING,9.0,9.0,9.0,9.0,9.0
HEINZ WINCKLER,CNA,DRSKE,DOCTOR WHO,UMLUNGU,9.0,9.0,9.0,9.0,9.0
TENNIS,KING CONE,FERGIE,FRESHLYGROUND,GOULASH,9.0,9.0,9.0,9.0,9.0
BLEACH,MEXICAN WAVE,BOBOTIE,JUST KEEP SWIMING,PARKS AND RECREATION,9.0,9.0,9.0,9.0,9.0
THE VOICE,VUVUZELA,KAT AND THE KINGS,HEIDI,SPUD,9.0,9.0,9.0,9.0,9.0
AMASIE,MRS BALL'S,YOU,KABADDI,THE OFFICE,9.0,9.0,9.0,9.0,9.0
SPOTIFY,MIMOSA,GRAND BUDAPEST HOTEL,"WE WILL, WE WILL ROCK YOU",CHEESE-ROLLING,9.0,9.0,9.0,9.0,9.0
NEW YEAR’S DAY,TKZEE,YEBO,EINA,INSIDE OUT,9.0,9.0,9.0,9.0,9.0
RYAN REYNOLDS,HANUKKAH,TARZAN,SKYRIM,BEAUTY AND THE BEAST,9.0,9.0,9.0,9.0,9.0
PEARL HARBOUR,JUSTIN TIMBERLAKE,PEKING DUCK,LET'S TWIST AGAIN,MARILYN MONROE,9.0,9.0,9.0,9.0,9.0
ONE FLEW OVER THE CUCKOO'S NEST,THANKSGIVING,MUTI,PADEL,SYNCHRONIZED SWIMMING,9.0,9.0,9.0,9.0,9.0
"CROUCHING TIGER, HIDDEN DRAGON",THE AVENGERS,MARK RUFFALO,QUEER EYE FOR THE STRAIGHT GUY,LAW AND ORDER,9.0,9.0,9.0,9.0,9.0
THE FRENCH OPEN,RICK AND MORTY,MRBEAST,COCONUT MILK,ROCKY AUR RANI KI PREM KAHANI,9.0,9.0,9.0,9.0,9.0
SURFING,PARTY IN THE USA,MZANZI FO SHO,M-NET,MAD MEN,9.0,9.0,9.0,9.0,9.0
BRIDGET JONES'S DIARY,INDEPENDENCE DAY,BARNEY,I BELIEVE I CAN FLY,GEM SQUASH,9.0,9.0,9.0,9.0,9.0
THE A-TEAM,VULINDLELA,MANSA MUSA,CANDY CRUSH,BOMPI,9.0,9.0,9.0,9.0,9.0
GRAVE OF THE FIREFLIES,JENGA,SISTERHOOD OF THE TRAVELING PANTS,BRAAI,MINECRAFT,9.0,9.0,9.0,9.0,9.0
"BET ON IT, BET ON IT",CHAMPAGNE PAPI,CRAZY EIGHTS,LOUIS VUITTON,TSOTSI,9.0,9.0,9.0,9.0,9.0
TOP CHEF,FUTURAMA,QUIDDITCH,LIGHTHOUSE,CURIOUS CASE OF BENJAMIN BUTTON,9.0,9.0,9.0,9.0,9.0
THE LEGEND OF ZELDA,QUAGGA,THE PROTEAS,GRAND THEFT AUTO,ALL THE SINGLE LADIES,8.0,8.0,8.0,8.0,8.0
HARVEST FESTIVAL,DEXTER,MARDI GRAS,PEARL JAM,DAYS OF OUR LIVES,8.0,8.0,8.0,8.0,8.0
BLINK 182,30 ROCK,SMALLVILLE,JAMES BLUNT,TWO OCEANS MARATHON,8.0,8.0,8.0,8.0,8.0
GEN C PODCAST,LUNCH BAR,"YOU ARE MY FIRE, MY ONE DESIRE",POTATO WARRAS,DRAGONBALL Z,8.0,8.0,8.0,8.0,8.0
AVOCADO,FETA,COWBOY BEBOP,AMERICAN PSYCHO,THE LION KING,8.0,8.0,8.0,8.0,8.0
MMA,IT'S TOO LATE TO APOLOGIZE,PERLEMOEN,SAGO PUDDING,CRICKET,8.0,8.0,8.0,8.0,8.0
SUITS,NOOT VIR NOOT,BEAUTIFUL GIRL,RAY BROWN,CINDERELLA,8.0,8.0,8.0,8.0,8.0
THE OSCARS,JENNIFER LOPEZ,PICK 'N PAY,AINSLEY HARRIOTT,CASEY NEISTAT,8.0,8.0,8.0,8.0,8.0
JACK JOHNSON,PLAYSTATION 3,STEP BROTHERS ,GATSBY,TRIVIAL PURSUIT,8.0,8.0,8.0,8.0,8.0
SERGIO MENDEZ,CHRISTMAS EVE,CHILLI POPPER,SNORKELLING,"GET LOW, GET LOW",8.0,8.0,8.0,8.0,8.0
PHO,SCRABBLE,FEAR FACTOR,JOSHUA DOORE,SEINFELD,8.0,8.0,8.0,8.0,8.0
RED HOT CHILL PEPPERS,OLYMPIAD,DIWALI,HERMANUS WHALE FESTIVAL,OSMAN'S,8.0,8.0,8.0,8.0,8.0
SELFIE STICK,SAUTE,FRANK SINATRA,LEKKER,JENNA MARBLES,8.0,8.0,8.0,8.0,8.0
