Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
COLDPLAY,HOWL'S MOVING CASTLE,CAPITEC,ALFREDO BOWMAN,*EXERCISING*,9.0,9.0,9.0,9.0,9.0
MAHATMA GANDHI,MOZZARELLA,VOETSTOOTS,MADAM & EVE,MET EISH BRA,9.0,9.0,9.0,9.0,9.0
BRIDGET JONES'S DIARY,GOOD PLACE,GENC,BORIS JOHNSON,EYE OF TIGER,9.0,9.0,9.0,9.0,9.0
KOMBI,PLATYPUS,HERITAGE DAY ,RUN JOZI,THANKSGIVING,9.0,9.0,9.0,9.0,9.0
TRAPPE VAN VERGELYKING,AG NEE MAN,FUTURAMA,SWORD ART ONLINE,INVICTUS,9.0,9.0,9.0,9.0,9.0
GOGO,SAFFRON,7DE LAAN,DURBAN JULY,JENNIFER LAWRENCE,9.0,9.0,9.0,9.0,9.0
ISMAËL LÔ,RYAN REYNOLDS,BILLIE JEAN,MANTIS SHRIMP,BUSINESS DAY,9.0,9.0,9.0,9.0,9.0
RON WEASLEY,NATIONAL WOMEN'S DAY,TAEKWONDO,CASUAL DAY,AHMED KATHRADA,9.0,9.0,9.0,9.0,9.0
*PAINTING*,LOVE ISLAND,THE LEGEND OF ZELDA,TELESCOPE,COSATU,9.0,9.0,9.0,9.0,9.0
NVIDIA ,LET IT BURN,NOOIT,THEY NOT LIKE US,"BET ON IT, BET ON IT",9.0,9.0,9.0,9.0,9.0
THE OFFICE,LAW AND ORDER,PAC-MAN,HIGGS BOSON,CAN'T GET YOU OUT OF MY HEAD,9.0,9.0,9.0,9.0,9.0
JELLY TOTS,CHRISTMAS DAY,CRAYFISH CURRY,AT&T,GOOD BYE LENIN!,9.0,9.0,9.0,9.0,9.0
THE WIRE,DASSIE,AMAZING RACE,JOHANN RUPERT,CORAL REEF,9.0,9.0,9.0,9.0,9.0
LABOUR DAY,SURVIVOR,BARBRA STREISAND,GOULASH,BIG MAGIC,9.0,9.0,9.0,9.0,9.0
KFC,MEMORIAL DAY,WATERMELON SUGAR HIGH,SISTER BETTINA,VIRTUAL PRIVATE NETWORK,9.0,9.0,9.0,9.0,9.0
