Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
BETHLEHEM,XENOPHOBIA,BURGER'S DAUGHTER ,RUBIK'S CUBE,ORIGIN OF SPECIES,9.0,9.0,9.0,9.0,9.0
EDINBURGH,HERBALIFE,BECOMING,CAPE COLONY,SHATTERPRUFE,9.0,9.0,9.0,9.0,9.0
FRANKENSTEIN,TURING MACHINE,TOUCH TYPING,PRETORIA,XI JINPING,9.0,9.0,9.0,9.0,9.0
I HAVE A DREAM,MOHAMED SALAH,DEATH STAR,CLOCKWORK PRINCESS,P.W. BOTHA,9.0,9.0,9.0,9.0,9.0
SOCIOLOGY,BANTU LAND ACT,LEBRON JAMES,SATELLITE,LITTLE PRINCE,9.0,9.0,9.0,9.0,9.0
BOSTON,PAM GOLDING,NANOTECHNOLOGY,SADDAM HUSSEIN,SANDTON,9.0,9.0,9.0,9.0,9.0
CHILE,THE LIMPOPO RIVER,DAILY SUN,HARVEY WEINSTEIN,MARNUS LABUSCHAGNE,9.0,9.0,9.0,9.0,9.0
PENICILLIN,WEST AFRICA,CAPYBARA,LESOTHO,QUANTUM COMPUTING,9.0,9.0,9.0,9.0,9.0
ATOMIC HABITS,LACTOSE INTOLERANT,HILLSONG CHURCH,LOUIS ARMSTRONG,THE NIAGARA FALLS,9.0,9.0,9.0,9.0,9.0
PLATYPUS,HOODIE,GAUTENG,TERRACOTTA ARMY,EGOLI,9.0,9.0,9.0,9.0,9.0
STOCKHOLM,STAR-NOSED MOLE,MOUNT RUSHMORE,BENNI MCCARTHY,BLUETOOTH,9.0,9.0,9.0,9.0,9.0
MACHU PICCHU,PERU,NAMAQUALAND,HUNGER GAMES,WHATSAPP,9.0,9.0,9.0,9.0,9.0
YOUTUBE,CARACAL,MOTHERBOARD,CHARLOTTE’S WEB,EPSTEIN ISLAND,9.0,9.0,9.0,9.0,9.0
CAPE ALOE,RAT KING,VENEZUELA,JEEP,IMAM HARON,9.0,9.0,9.0,9.0,9.0
VICTORIA FALLS,AR GLASSES,CRUSADES,MANTIS SHRIMP,EQUILIBRIUM,9.0,9.0,9.0,9.0,9.0
CAPE TOWN,KOMODO DRAGON,TITANIC,SCHABIR SHAIK,SIMONE BILES,9.0,9.0,9.0,9.0,9.0
