1,2,3,4,5
*RUNNING*,KING OF THE HILL,AMAXHOSA,PINK STERI STUMPIE,FRANKLIN D. ROOSEVELT
ALL I WANT FOR CHRISTMAS IS YOU,KAYTRANADA,*WASHING THE DISHES*,BOKKE,BOJACK HORSEMAN
HURT SO BAD ,*SURFING*,SKEEM SAAM,ULTIMATE FRISBEE,MARNUS LABUSCHAGNE
PAD THAI,*SNORKELLING*,STEVE REDGRAVE,"GLUE, TAPE, STAPLER",TIM BERNERS-LEE
MZANZI FO SHO,"PARK, NEUTRAL, DRIVE ",NSFAS,FELA IN VERSACE,*COOKING*
*TYPING ON KEYBOARD*,NEW DELHI,VIE MAAK DIE JOL VOL,BUCHU,WIRE
MICKEY MANTLE,SURVIVOR SERIES,DONGA,*EXERCISING*,MUVHANGO
ROBSON WALTON,*WALKING UP STAIRS*,NATSU DRAGNEEL,FOURIER TRANSFORM,OOPS!... I DID IT AGAIN
BLACK DEATH,*FLYING*,KASHMIR,VEEP,YUSUKE URAMESHI
CHEESE-ROLLING,CHEESE BOY,*SWEEPING*,STEVEN SPIELBERG,LUCKY STAR
MONACO,"PROTON, NEUTRON, ELECTRON",GODS MUST BE CRAZY,CHAMPAGNE PAPI,*GLASSBLOWING*
MIMOSA,SHOEBILL,MAHER ZAIN,SMOSH,*TAKING PHOTOS*
BEAUTIFUL GIRL,FENUGREEK,STAR TREK,FARGO,*PAINTING*
*KNITTING*,BODY IS A WONDERLAND,MINSK,"SKY, CLOUD, RAIN",CREED
GUYANA,"NOTES, CHORDS, SCALES",MANSA MUSA,RUN JOZI,*BREAK THE ICE*
HERMANUS WHALE FESTIVAL,JOHNSON & JOHNSON,TERMINATOR,KUCH KUCH HOTA HAI,*MEXICAN WAVE*
FINDING NEMO,*HITCHHIKING*,30 SECONDS,VIRTUAL PRIVATE NETWORK,"HOOK, LINE, SINKER"
*BITE THE BULLET*,5 SECOND RULE,ARNOLD PALMER,TITO MBOWENI SHA SHA,CLEOPATRA
