Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length,Versatile
1984,Language and Literature ,Book,,,0,3,4,
Afrikaans Language Monument,History,triplet,,1,0,3,27,
group areas act,History,South Africa,,1,0,2,15,
1 2 Step,Music,,,,1,2,8,
2-factor authentication,Technology,,,,0,2,23,
20 Questions,Games,,,,1,2,12,
AL CAPONE,TV Show,,,,1,3,9,
30 seconds ,Games,Boardgame,,1,1,1,11,
3d printing,Technology,,,,0,1,11,
5 second rule,Games,Boardgame,,,1,2,13,
5g,Technology,,,,0,1,2,§
7 cards,Games,,,1,1,2,7,
Altered Carbon,TV Show,,,,1,3,14,
A Clockwork Orange,Language and Literature ,Book,,1,0,2,18,
A tornado flew around my home,Music,Song,,,1,2,29,
Benedict Cumberbatch,People and Characters,Actor,,,1,3,20,
abacus,Math and Science,,,,0,1,6,
achy breaky heart,Music,,,,1,1,17,
Ackermans,Companies,,,1,0,1,9,
Jim carrey,People and Characters,Actor,,,1,1,10,
adidas,Companies,,,,1,1,6,
Cowboy Bebop,TV Show,Anime,,,1,3,12,
Adventures of Huckleberry Finn,Language and Literature ,Book,,,0,2,30,
aerodynamics,Math and Science,,,,0,1,12,
African Wormwood,Nature,South Africa,,1,0,3,16,
Cold war,History,Event,,1,0,2,8,
AfrikaBurn,Events,,,1,0,2,10,
Agapanthus,Nature,South Africa,,1,0,3,10,
Marlon Brando,People and Characters,Actor,,,1,3,13,
Adam Driver,People and Characters,Actor,,,1,2,11,
Air Fryer,Technology,,,,0,1,9,
AK-47,Technology,,,,0,1,5,
Curb Your Enthusiasm,TV Show,,,,1,3,20,
Chalte Chalte,Movies,,,,1,3,13,
Alchemist,Language and Literature ,Book,,,0,2,9,
alchemy,Math and Science,,,,0,2,7,
bruce willis,People and Characters,Actor,,,1,2,12,
Chris Evans,People and Characters,Actor,,,1,2,11,
algorithm,Math and Science,,,,0,1,9,
Alice in Wonderland,Language and Literature ,Book,,,0,2,19,
Chris Hemsworth,People and Characters,Actor,,,1,2,15,
All i want for christmas is you,Music,Lyrics,,,1,2,31,
all of the lights,Music,Lyrics,,1,1,2,17,
All the Single Ladies,Music,Lyrics,,,1,1,21,
Axolotl,Animals,,,,0,3,7,
Alphabet,Companies,,,1,0,1,8,
marie claire,Companies,,,,1,3,12,
Amasie,Food and Drink,,,1,1,3,6,
Muvhango,TV Show,,,1,1,3,8,
American Football,Sports,,,,1,1,17,
Digimon,TV Show,Anime,,,1,2,7,
American Pie,Movies,,,,1,2,12,
Chris Pratt,People and Characters,Actor,,,1,2,11,
and united we shall stand,Music,Lyrics,,1,1,1,25,
Andon Cord,Technology,,,,0,3,10,
Christopher Nolan,People and Characters,Actor,,,1,2,17,
Anglo American,Companies,,,1,0,3,14,
CODESA,History,,,1,0,3,6,
angry birds,Games,,,,1,1,11,
Bering Strait,Geography,City,,,0,3,13,
anthropology,Language and Literature ,,,,0,2,12,
antibiotics,Math and Science,,,,0,1,11,
Daniel Craig,People and Characters,Actor,,,1,2,12,
Gettysburg Address,History,Event,,,0,3,18,
apple watch,Technology,,,,0,1,11,
april fools' day,Events,,,,0,1,16,
Gulf War,History,South Africa,,,0,3,8,
Melbourne,Geography,City,,,0,1,9,
Denzel Washington,People and Characters,Actor,,,1,2,17,
Blowfish,Animals,,,,0,1,8,
Emma Stone,People and Characters,Actor,,,1,2,10,
Cape Verde,Geography,Country,,,0,3,10,
artificial Intelligence,Technology,,,,0,1,23,
ASICS,Companies,,,,0,1,5,
Asimbonanga,Music,,,1,1,3,11,
eric clapton,People and Characters,Actor,,,1,2,12,
astronomy,Math and Science,,,,0,1,9,
AT&T,Companies,,,,0,2,4,
Bokkoms,Food and Drink,,,1,1,3,7,
Chichen Itza,Geography,Landmarks,,,0,3,12,
Athletics,Sports,,,,1,1,9,
Sudan,Geography,Country,,,0,2,5,
Atomic Habits,Language and Literature ,Book,,,0,2,13,
audi,Companies,,,,0,1,4,
auld lang syne,Music,,,,1,3,14,
South Sudan,Geography,Country,,,0,2,11,
Automatic,Technology,triplets,,,0,1,9,
Avalanche,Nature,,,,0,1,9,
Empanadas,Food and Drink,Meal,,1,1,3,9,
Indaba,Culture,,,1,1,3,6,
Parrot,Animals,,,,0,1,6,
Forbidden City,Geography,Landmarks,,,0,2,14,
"BAA, BAA, BLACK SHEEP",Music,Lyrics,,,1,1,21,
backgammon,Games,,,,1,2,10,
Orphan Black,TV Show,,,,1,3,12,
Idris Elba,People and Characters,Actor,,,0,2,10,
Badminton,Sports,,,,1,1,9,
Jack Nicholson,People and Characters,Actor,,,1,2,14,
Isibindi,Culture,,,1,1,3,8,
ball is in your court,Language and Literature ,,,,0,2,21,
Mampara,Culture,,,1,1,3,7,
bang bang bang,Music,Lyrics ,triplets,,1,1,14,
Rivonia Trial,History,,,1,0,3,13,
Jennifer Lawrence,People and Characters,Actor,,,1,2,17,
Gem Squash,Food and Drink,,,1,1,3,10,
Pad Thai,Food and Drink,Meal,,,1,3,8,
Marilyn Monroe,People and Characters,Actor,,,1,2,14,
Mark Ruffalo,People and Characters,Actor,,,1,2,12,
Parks and Recreation,TV Show,,,,1,3,20,
mark wahlberg,People and Characters,Actor,,,1,2,13,
Bastille Day,Events,,,,0,3,12,
Bathroom Bizarre,Companies,,,1,1,2,16,
Battleships,Games,Boardgame,,,1,1,11,
Goodfellas,Movies,,,,1,3,10,
Queer Eye for the Straight Guy,TV Show,,,,1,3,30,
beautiful girl,Music,Lyrics,,,1,1,14,
Grand Budapest Hotel,Movies,,,,1,3,20,
Becoming,Language and Literature ,Book,,,0,2,8,
Shrimp,Animals,,,,0,1,6,
Seinfeld,TV Show,,,,1,3,8,
Meryl Streep,People and Characters,Actor,,,1,2,12,
Natalie Portman,People and Characters,Actor,,,1,2,15,
Gaborone,Geography,City,Capital,,0,3,8,
tanzania,Geography,Places,,,0,2,8,
Jakarta,Geography,City,Capital,,0,3,7,
best of both worlds,Music,,,,1,2,19,
"Bet on it, bet on it",Music,Lyrics,,,1,2,20,
Kabul,Geography,City ,,,0,3,5,
Between Two Worlds ,Language and Literature ,Book,,,0,3,19,
Skeem Saam,TV Show,,,1,1,3,10,
mr bean,TV Show,,,,1,1,7,
Big Magic,Language and Literature ,,,,0,2,9,
blood and water,TV Show,,,1,1,2,15,
Rami Malek,People and Characters,Actor,,,1,2,10,
Billabong,Companies,,,,1,1,9,
Billie Jean,Music,Lyrics,,1,1,1,11,
russell peters,People and Characters,Actor,Comedian,,1,2,14,
Bingo,Games,,,,1,1,5,
Biotechnology,Math and Science,,,,0,2,13,
george,Geography,Event,,,0,2,6,
Bite the bullet,Language and Literature ,,,,0,1,15,
Black Beauty,Language and Literature ,,,,0,2,12,
The Third Reich,History,,,,0,3,15,
West Wing,TV Show,,,,1,3,9,
sandra bullock,People and Characters,Actor,,,1,2,14,
BlackBerry,Technology,Things,,,0,1,10,
Tom Hanks,People and Characters,Actor,,,1,2,9,
Westworld,TV Show,,,,1,3,9,
Zoe Saldana,People and Characters,Actor,Actor,,1,2,11,
Alpaca,Animals,,,,0,2,6,
Blockchain,Technology,,,,0,2,10,
Angelina Jolie,People and Characters,Actor,,,1,1,14,
Grave of the Fireflies,Movies,Anime,,,1,3,22,
Peking Duck,Food and Drink,Meal,,,1,3,11,
bluetooth,Technology,,,,0,1,9,
BMW,Companies,,,,0,1,3,
30 Rock,TV Show,,,,1,2,7,
Sago Pudding,Food and Drink,,,1,1,3,12,
Bobsleigh,Sports,,,,1,2,9,
BODMAS,Math and Science,,,,0,1,6,
body is a wonderland,Music,Lyrics,,,1,3,20,
Muti,Culture,,,1,1,3,4,
46664,History,,,1,0,2,5,
Shisa Nyama,Food and Drink,,,1,1,3,11,
Sarmie,Culture,,,1,1,3,6,
Kabhi Kushi Kabhi Gham,Movies,Indian,,,1,3,22,
Adventure Time,TV Show,,,,1,2,14,
Umlungu,Culture,,,1,1,3,7,
Tiramisu,Food and Drink,Meal,,,1,3,8,
Mimosa,Food and Drink,Drink,,,1,3,6,
Charlie Chaplin,People and Characters,Actor,,,1,1,15,
Charlize Theron,People and Characters,Actor,,1,1,1,15,
Amazing Race,TV Show,,,,1,2,12,
Christian Bale,People and Characters,Actor,,,1,1,14,
Laos,Geography,City,,,0,3,4,
Bouldering,Sports,,,,1,3,10,
Boxing Day,Events,,,,0,1,10,
BP,Companies,,,,0,1,2,
vaalie,Culture,,,1,1,3,6,
Braai Day,Events,Holidays,,1,0,1,9,
Potato Warras,Food and Drink,,,1,1,3,13,
Backstage,TV Show,,,1,1,2,9,
Breaking the ice,Language and Literature ,,,,0,2,16,
Hilary Duff,People and Characters,Actor,,,1,1,11,
Arab Spring,History,Event,,,0,2,11,
Kal Ho Naa Ho,Movies,Indian,,,1,3,13,
Broken Telephone,Games,Boardgame,,1,1,1,16,
Bronze,Math and Science,,,,0,1,6,
Big Mouth,TV Show,,,,1,2,9,
Broom,Things,,,,1,1,5,
jennifer aniston,People and Characters,Actor,,,1,1,16,
Johnny Depp,People and Characters,Actor,,,1,1,11,
Atcha,Food and Drink,,,1,1,2,5,
Julia Roberts,People and Characters,Actor,,,1,1,13,
Keanu Reeves,People and Characters,Actor,,,1,1,12,
Buchu,Nature,South Africa,,1,0,3,5,
Luxembourg,Geography,Country,,,0,3,10,
Montenegro,Geography,Country,,,0,3,10,
Leonardo DiCaprio,People and Characters,Actor,,,1,1,17,
Black Mirror,TV Show,,,,1,2,12,
Capybara,Animals,,,,0,2,8,
Burger King,Companies,,,,1,1,11,
Burger's Daughter ,Language and Literature ,Book,,,0,3,18,
Burning Man,Events,,,,0,2,11,
Business day,Events,,,,0,2,12,
Barakat,Food and Drink,Meal,,1,1,2,7,
C Major,Music,triplets,,,1,2,7,
Caber Tossing,Sports,,,,1,3,13,
tunisia,Geography,Country,,,0,2,7,
calabash,Nature,South Africa,,1,0,2,8,
Calculus,Math and Science,,,,0,2,8,
calisthenics,Sports,triplets,,,1,2,12,
Call of Duty,Games,,,,1,2,12,
Philadelphia,Geography,Places,,,0,3,12,
can't get you out of my head,Music,Lyrics,,,1,2,28,
Pocono Mountains,Geography,Places,,,0,3,16,
Candy Crush,Games,,,,1,1,11,
Cape Aloe,Nature,South Africa,,1,0,2,9,
Black Death,History,Event,,,0,2,11,
San Salvador,Geography,City,,,0,3,12,
Cape Protea,Nature,South Africa,,,0,1,11,
Chad,Geography,Country,,,0,1,4,
Sicily,Geography,,,,0,3,6,
Stockholm,Geography,City,Capital,1,0,3,9,
Capitec,Companies,,,,0,1,7,
Caracal,Animals,,,,0,2,7,
Matt Damon,People and Characters,Actor,,,1,1,10,
Komodo Dragon,Animals,,,,0,2,13,
Caracara,Music,Lyrics,,,1,3,8,
Carbon,Math and Science,,,,0,1,6,
careless whisper,Music,,,,1,2,16,
Bobotie,Food and Drink,,,1,1,2,7,
megan fox,People and Characters,Actor,,,1,1,9,
Robert Downey Jr.,People and Characters,Actor,,,1,1,17,
Bleach,TV Show,Anime,,,1,2,6,
Ryan Reynolds,People and Characters,Actor,,,1,1,13,
Boileroom,TV Show,,,,1,2,9,
Samuel L. Jackson,People and Characters,Actor,,,1,1,17,
Terracotta Army,Geography,Landmarks,,1,0,3,15,
casual day,Events,,,,0,1,10,
Kudu,Animals,,,,0,2,4,
Cat in the Hat,Language and Literature ,Book,,1,0,2,14,
Catan,Games,Boardgame,,,1,2,5,
Cause I’m Mr. Brightside,Music,,,,1,2,24,
the serengeti,Geography,,,,0,3,13,
Bompi,Food and Drink,,,1,1,2,5,
Kat and the Kings,Movies,South Africa,,1,1,3,17,
Scarlett Johansson,People and Characters,Actor,,,1,1,18,
Chanel,Companies,,,,0,2,6,
Braaibroodjies,Food and Drink,,,1,1,2,14,
charades,Games,,,,1,1,8,
Tom Holland,People and Characters,Actor,,,1,1,11,
Will Smith,People and Characters,Actor,,,1,1,10,
Charlotte's Web,Language and Literature ,Book,,,0,2,15,
butternut soup,Food and Drink,,,,1,2,14,
cheers,Language and Literature ,,,,0,1,6,
ballie,Culture,,,1,1,2,6,
Cheese-rolling,Sports,,,,1,2,14,
Lemur,Animals,,,,0,2,5,
Zendaya,People and Characters,Actor,,,1,1,7,
chemotherapy,Math and Science,,,,0,2,12,
Chess,Sports,,,,1,1,5,
Kamala Harris,People and Characters,Politician,,,1,2,13,
Chevron ,Companies,,,,0,2,8,
the Shard,Geography,Landmarks,,,0,3,9,
Togo,Geography,Country,,,0,3,4,
Chakalaka,Food and Drink,,,1,1,2,9,
Chappies,Food and Drink,,,1,1,1,8,
Tonga,Geography,Country,,,0,3,5,
Chilli Popper,Food and Drink,Meal,,1,1,2,13,
Boer War,History,South Africa,,1,0,2,8,
Chinese New Year,Events,,,,0,1,16,
Chlorophyll,Math and Science,,,,0,3,11,
Fatima Sydow,People and Characters,Cooking,,1,1,2,12,
Monkey D. Luffy,People and Characters,Anime,,,1,2,15,
Uzumaki Naruto,People and Characters,Anime,TV Show,1,1,2,14,
Drake,People and Characters,Music,,,1,1,5,
Goku,People and Characters,Anime,,,1,1,4,
umhlanga rocks,Geography,Places,,1,0,2,14,
Tim Cook,People and Characters,CEO,,,0,2,8,
Christmas Day,Events,,,,0,1,13,
christmas eve,Events,,,,0,1,13,
bassem youssef,People and Characters,Comedian,,1,1,2,14,
chromosome,Math and Science,,,,0,1,10,
crayfish curry,Food and Drink,Meal,,1,1,2,14,
Kuch Kuch Hota Hai,Movies,Indian,,,1,3,18,
noem my skollie,Movies,,,1,1,3,15,
circuit,Math and Science,,,,0,1,7,
Princess Mononoke,Movies,Anime,,,1,3,17,
Steven Spielberg,People and Characters,Director,,,1,2,16,
Clicks,Companies,,,,0,1,6,
US Route 66,Geography,Places,,,0,3,11,
Clockwork Princess,Language and Literature ,Book,,,0,3,18,
Cluedo,Games,Boardgame,,,1,2,6,
cna,Companies,,,,1,1,3,
Boondocks,TV Show,,,,1,2,9,
Cobalt,Math and Science,,,,0,2,6,
daltjies,Food and Drink,,,1,1,2,8,
Danja Sausage,Food and Drink,,,1,1,2,13,
Cape Colony,History,South Africa,,1,0,2,11,
Woody Allen,People and Characters,Director,,,1,2,11,
Color Purple,Language and Literature ,Book,,,0,2,12,
Morocco,Geography,Places,,,0,2,7,
Comic Con,Events,,,1,0,2,9,
Commonwealth Games,Events,,,,0,2,18,
Brooklyn Nine-Nine,TV Show,,,,1,2,18,
Midrand,Geography,Places,,1,0,2,7,
Complex Numbers,Math and Science,,,,0,2,15,
Connect Four,Games,Boardgame,,,1,2,12,
constellation,Nature,,,,0,1,13,
Coral Reef,Nature,,,,0,1,10,
Quentin Tarantino,People and Characters,Director,,,1,1,17,
Cost an arm and a leg,Language and Literature ,,,,0,2,21,
China Floods,History,Event,,,0,2,12,
Buffy the Vampire Slayer,TV Show,,,,1,2,24,
Double Hotdog,Food and Drink,,,1,1,2,13,
crazy eights,Games,,,,1,2,12,
Crazy Store,Companies,,,1,1,2,11,
REQUIEM FOR A DREAM ,Movies,,,,1,3,20,
Egg fried rice,Food and Drink,,,,1,2,14,
Cricket,Sports,,,,1,1,7,
AINSLEY HARRIOTT,People and Characters,Food & Drink,Chef,,0,3,16,
Crooked Kingdom,Language and Literature ,Book,,,0,3,15,
top gun,Movies,Indian,,,1,2,7,
Crusades,History,,,,0,2,8,
CTRL-C,Technology,triplets,,,0,1,6,
CTRL-V,Technology,triplets,,,0,1,6,
Cultery ,Technical,triplets,,,0,1,8,
Cumulus Clouds,Nature,,,,0,2,14,
Demon Slayer,TV Show,Anime,,,1,2,12,
American Psycho,Movies,Indian,,,1,2,15,
DR SEBI,People and Characters,Food & Drink,Nutrionist,,0,3,7,
D-Day,History,,,,0,2,5,
Da Vinci Code,Language and Literature ,Book,,,0,1,13,
Daily Sun,Companies,,,,0,1,9,
Daisies,Events,,,1,0,1,7,
cheese boy,Culture,,,1,1,2,10,
Wellington,Geography,City,Capital,,0,3,10,
Eggnog,Food and Drink,Drink,,1,1,2,6,
Dancing Queen,Music,,,1,1,1,13,
stephen king,People and Characters,Language and Literature,,,0,2,12,
Fajitas,Food and Drink,Meal,,,1,2,7,
Malcolm Gladwell,People and Characters,Literature,Author,,0,2,16,
Blood Diamond,Movies,,,,1,2,13,
Eina,Culture,,,1,1,1,4,
Paulo Coelho,People and Characters,Literature,Author,,0,2,12,
Robson Walton,People and Characters,Literature,Author,,0,2,13,
Alexander Fleming,People and Characters,Math and Science,,,0,3,17,
alfred nobel,People and Characters,Math and Science,,,0,3,12,
Day of the Dead,Events,,,,0,3,15,
Dexter,TV Show,,,,1,2,6,
Death Star,Language and Literature ,Places,,,0,2,10,
Decimals,Math and Science,,,,0,1,8,
Dexter's Lab,TV Show,,,,1,2,12,
Louis Armstrong,People and Characters,Math and Science,,,0,2,15,
Desalination,Math and Science,,,,0,2,12,
Desert,Nature,,,,0,1,6,
Marie Curie,People and Characters,Math and Science,,,0,2,11,
Despacito,Music,Lyrics,,1,1,1,9,
Doctor Who,TV Show,,,,1,2,10,
BRIDGET JONES'S DIARY,Movies,,,,1,2,21,
cinderella man,Movies,,,,1,2,14,
Azkaban,Geography,Places,,,0,2,7,
everybody loves raymond,TV Show,,,,1,2,23,
Fairy Tail,TV Show,Anime,,,1,2,10,
Diary of a Wimpy Kid,Language and Literature ,Book,,,0,2,20,
Thomas Edison,People and Characters,Math and Science,,,0,2,13,
City of God,Movies,,,,1,2,11,
Cara Delevingne,People and Characters,Model,,,1,2,15,
Creed,Movies,,,,1,2,5,
Dischem,Companies,,,,0,1,7,
Discovery,Companies,,,,0,1,9,
Family Guy,TV Show,,,,1,2,10,
"Crouching Tiger, Hidden Dragon",Movies,,,,1,2,30,
Division,Math and Science,,,,0,1,8,
Diwali,Events,Holidays,,,0,1,6,
Curious Case of Benjamin Button,Movies,,,,1,2,31,
Berlin,Geography,City,,,0,2,6,
DNA,Math and Science,,,,0,1,3,
Berlin Wall,Geography,Landmarks,,,0,2,11,
Firefly,TV Show,,,,1,2,7,
Don't stop believin',Music,Lyrics,,1,1,2,20,
Princess Leia,People and Characters,Movie,,,1,3,13,
doom,Games,Things,,,1,1,4,
Frikkadel,Food and Drink,,,1,1,2,9,
Down Second Avenue,Language and Literature ,Book,,,0,3,18,
asterix,People and Characters,Movie,,,1,2,7,
Futurama,TV Show,,,,1,2,8,
tarzan,People and Characters,Movie,,,1,2,6,
Dri Buddi,Things,,,1,1,2,9,
tobey maguire,People and Characters,Movie,Actor,,1,2,13,
driftwood,Nature,,,,0,2,9,
drop it like it's hot,Music,Lyrics,,,1,1,21,
dstv decoder,Technology,,,1,0,1,12,
"Duck, Duck, Goose",Games,,,,1,2,17,
Dune,Language and Literature ,Book,,1,0,1,4,
DEVIL WEARS PRADA ,Movies,,,,1,2,18,
Dunning–Kruger effect,Language and Literature ,,,,0,3,21,
Duran Duran,Music,Artist ,,,1,2,11,
bethlehem,Geography,Landmarks,,,0,2,9,
Durban July,Events,,,1,0,2,11,
bistro,Geography,,,,0,2,6,
Dusk,Nature,triplets,,,0,2,4,
the a-team,People and Characters,Movie,,,1,1,10,
E coli,Math and Science,,,,0,2,6,
district 9,Movies,South Africa,,1,1,2,10,
Gen C Podcast,TV Show,Podcast,,1,1,2,13,
Timothée Chalamet,People and Characters,Movie,Actor,,1,1,17,
Easter Monday,Events,,,,0,1,13,
edgars,Companies,,,1,1,1,6,
Boston,Geography,,,,0,2,6,
Educated,Language and Literature ,Book,,,0,3,8,
Fruit Cake,Food and Drink,,,,1,2,10,
Jägerbomb,Food and Drink,Drink,,,1,2,9,
Buckingham Palace,Geography,Landmarks,,,0,2,17,
Buenos Aires,Geography,City,Capital,,0,2,12,
Eid ,Events,,,,0,1,4,
Chile,Geography,Country,,,0,2,5,
Eish,Culture,,,1,1,2,4,
Gees,Culture,,,1,1,2,4,
Ek wil huis toe gaan,Music,Lyrics,,1,1,1,20,
Electric Daisy Carnival,Events,,,,0,3,23,
Electromagnetism,Math and Science,,,,0,2,16,
embryo,Math and Science,,,,0,1,6,
Emirates,Companies,,,1,0,1,8,
Black Panther,People and Characters,Movies,,,1,1,13,
king cone,Food and Drink,,,,1,2,9,
Christ the Redeemer,Geography,Landmarks,,,0,2,19,
Dallas,Geography,,,,0,2,6,
Docside,Geography,Places,,,0,2,7,
equilibrium,Math and Science,,,,0,1,11,
Eragon,Language and Literature ,Book,,1,0,2,6,
boney m,People and Characters,Music,,,1,3,7,
Durbs,Geography,,,,0,2,5,
Hugh Masekela,People and Characters,Music,,1,1,3,13,
Gilmore Girls,TV Show,,,,1,2,13,
Evaporation,Nature,,,,0,1,11,
Every Breath You Take,Music,Lyrics,,,1,1,21,
House of Cards,TV Show,,,,1,2,14,
eye of tiger,Music,Lyrics,,,1,1,12,
Luciano Pavarotti,People and Characters,Music,Artist,,1,3,17,
fable,Language and Literature ,,,,0,2,5,
facebook,Companies,,,,0,1,8,
Fahrenheit 451,Language and Literature ,Book,,,0,3,14,
Howl's Moving Castle,TV Show,Anime,,,1,2,20,
Lion's ear,Food and Drink,South Africa,,1,1,2,10,
Isidingo,TV Show,,,1,1,2,8,
"Father, Son, Holy Spirit",Language and Literature ,triplets,,,0,1,24,
father's day,Events,,,,0,1,12,
Portishead,People and Characters,Music,Artist,,1,3,10,
Fault in Our Stars,Language and Literature ,Book,,,0,3,18,
FAUNA AND FLORA,Nature,,,,0,2,15,
King of the Hill,TV Show,,,,1,2,16,
Fela in versace,Music,Lyrics,,1,1,2,15,
Fencing,Sports,,,,1,2,7,
Ray Brown,People and Characters,Music,Artist,,1,3,9,
art blakey,People and Characters,Music,Artist,,1,2,10,
Lucky Star,Food and Drink,,,1,1,2,10,
Fibonacci,Math and Science,,,,0,3,9,
French Revolution,History,,,,0,2,17,
Fifty Shades of Grey,Language and Literature ,,,,0,1,20,
Django Unchained,Movies,,,,1,2,16,
