Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
1984,Language and Literature ,Book,,,0,3,4
46664,History,,,,0,2,5
"[Breakfast, Lunch, Dinner]",Technical,triplets,,,1,1,26
"[Caterpillar, Cocoon, Butterfly]",Technical,triplets,,,1,2,32
"[Chair, Couch, Bench]",Technical,triplets,,,1,2,21
"[Circle, Square, Triangle]",Technical,triplets,,,1,1,26
"[Cut, Copy, Paste]",Technical,triplets,,,0,1,18
"[Drum, Piano, Bass]",Technical,triplets,,,0,2,19
"[Earth, Wind, Fire, Water]",Technical,triplets,,,0,2,26
"[English, Afrikaans, Xhosa]",Technical,triplets,,,0,1,27
"[First, Second, Third]",Technical,triplets,,,1,1,22
"[Fork, Spoon, Knife]",Technical,triplets,,,1,1,20
"[Glue, Tape, Stapler]",Technical,triplets,,,1,3,21
"[Hypothesis, Methodology, Conclusion]",Technical,triplets,,,1,2,37
"[Introduction, Body, Conclusion]",Technical,triplets,,,1,2,32
"[Large, Medium, Small]",Technical,triplets,,,0,1,22
"[Laugh, Giggle, Snicker]",Technical,triplets,,,0,3,24
"[Lemon, Orange, Mandarin]",Technical,triplets,,,0,2,25
"[Morning, Afternoon, Night]",Technical,triplets,,,0,1,27
"[Mouth, Eyes, Nose]",Technical,triplets,,,0,1,19
"[Notebook, Diary, Journal]",Technical,triplets,,,1,3,26
"[Notes, Chords, Scales]",Technical,triplets,,,0,3,23
"[Onion, Garlic, Ginger]",Technical,triplets,,,1,2,23
"[Oxygen, Carbon Dioxide, Nitrogen]",Technical,triplets,,,0,2,34
"[Paper, Rock, Scissors]",Technical,triplets,,,1,1,23
"[Park, Neutral, Drive]",Technical,triplets,,,1,2,22
"[Proton, Neutron, Electron]",Technical,triplets,,,0,2,27
"[Red, Green, Yellow]",Technical,triplets,,,1,1,20
"[Red, White, Blue]",Technical,triplets,,,0,1,18
"[Shirt, Pants, Jacket]",Technical,triplets,,,1,1,22
"[Sky, Cloud, Rain]",Technical,triplets,,,0,2,18
"[Snap, Crackle, Pop]",Technical,triplets,,,0,1,20
"[Strawberry, Raspberry, Blueberry]",Technical,triplets,,,1,2,34
