Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
5 Love Languages,Language and Literature ,,,,1,1,16
brexit,History,,,,0,1,6
"[Breakfast, Lunch, Dinner]",Technical,triplets,,,1,1,26
"[Cut, Copy, Paste]",Technical,triplets,,,0,1,18
"[First, Second, Third]",Technical,triplets,,,1,1,22
"[Large, Medium, Small]",Technical,triplets,,,0,1,22
"[Paper, Rock, Scissors]",Technical,triplets,,,1,1,23
"[Mouth, Eyes, Nose]",Technical,triplets,,,0,1,19
"[Red, Green, Yellow]",Technical,triplets,,,1,1,20
"[Red, White, Blue]",Technical,triplets,,,0,1,18
"[Shirt, Pants, Jacket]",Technical,triplets,,,1,1,22
"[Snap, Crackle, Pop]",Technical,triplets,,,0,1,20
"[Vinegar, Baking Soda]",Technical,triplets,,,1,1,22
"[Win, Lose, Draw]",Technical,triplets,,,0,1,17
"[Circle, Square, Triangle]",Technical,triplets,,,1,1,26
"[English, Afrikaans, Xhosa]",Technical,triplets,,,0,1,27
"[Fork, Spoon, Knife]",Technical,triplets,,,1,1,20
"[Morning, Afternoon, Night]",Technical,triplets,,,0,1,27
"[Caterpillar, Cocoon, Butterfly]",Technical,triplets,,,1,2,32
"[Drum, Piano, Bass]",Technical,triplets,,,0,2,19
"[Hypothesis, Methodology, Conclusion]",Technical,triplets,,,1,2,37
"[Lemon, Orange, Mandarin]",Technical,triplets,,,0,2,25
"[Onion, Garlic, Ginger]",Technical,triplets,,,1,2,23
"[Oxygen, Carbon Dioxide, Nitrogen]",Technical,triplets,,,0,2,34
"[Park, Neutral, Drive]",Technical,triplets,,,1,2,22
"[Sky, Cloud, Rain]",Technical,triplets,,,0,2,18
"[Strawberry, Raspberry, Blueberry]",Technical,triplets,,,1,2,34
"[Swim, Jog, Cycle]",Technical,triplets,,,0,2,18
"[Vampire, Werewolf, Zombie]",Technical,triplets,,,1,2,27
"[Whatsapp, Facebook, Instagram]",Technical,triplets,,,0,2,31
"[Chair, Couch, Bench]",Technical,triplets,,,1,2,21
"[Earth, Wind, Fire, Water]",Technical,triplets,,,0,2,26
"[Introduction, Body, Conclusion]",Technical,triplets,,,1,2,32
"[Proton, Neutron, Electron]",Technical,triplets,,,0,2,27
"[Glue, Tape, Stapler]",Technical,triplets,,,1,3,21
"[Laugh, Giggle, Snicker]",Technical,triplets,,,0,3,24
"[Notebook, Diary, Journal]",Technical,triplets,,,1,3,26
"[Notes, Chords, Scales]",Technical,triplets,,,0,3,23
*Climbing*,Actions,,,,1,1,10
*Cooking*,Actions,,,,1,1,9
*Exercising*,Actions,,,,1,1,12
*Flying*,Actions,,,,1,1,8
*Glassblowing*,Actions,,,,1,2,14
*Hitchhiking*,Actions,,,,1,1,13
*Knitting*,Actions,,,,1,2,10
*Mexican wave*,Actions,,,,1,1,14
*Painting*,Actions,,,,1,2,10
*Running*,Actions,,,,1,1,9
*Shooting*,Actions,,,,1,1,10
*Snorkelling*,Actions,,,,1,2,13
*Surfing*,Actions,,,,1,1,9
*Sweeping*,Actions,,,,1,1,10
*Taking Photos*,Actions,,,,1,2,15
