Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
1984,Language and Literature ,Book,,,0,3,4
"[Glue, Tape, Stapler]",Technical,triplets,,,0,3,21
"[Notes, Chords, Scales]",Technical,triplets,,,0,3,23
African Wormwood,Nature,South Africa,,1,0,3,16
Agapanthus,Nature,South Africa,,1,0,3,10
agter 'n baard,Language and Literature ,Book,,1,0,3,14
AB de Villiers,People and Characters,Sports,Cricket,1,1,2,14
30 Rock,TV Show,,,,1,2,7
Adam Driver,People and Characters,Actor,,,0,2,11
Ahmed Kathrada,People and Characters,Politician,,,1,3,14
AINSLEY HARRIOTT,People and Characters,,,,1,3,16
Alan Turing,People and Characters,,,,0,3,11
Albertina Sisulu,People and Characters,Politician,,,1,3,16
Alhambra,Geography,Country,,,0,3,8
7de Laan,TV Show,,,1,1,1,8
Amasie,Food and Drink,,,1,1,3,6
Alfredo Bowman,People and Characters,,,,1,3,14
Andon Cord,Things,,,,1,3,10
Anglo-Zulu War,History,South Africa,,,0,3,14
Alisson Becker,People and Characters,Sports,Soccer,,0,3,14
Amish,People and Characters,,,,1,3,5
Arduino,Companies,Technology,,,0,3,7
Angelina Jolie,People and Characters,Actor,,,1,1,14
Asimbonanga,Music,,,,1,3,11
Anunnaki,People and Characters,,,,0,3,8
Axolotl,Animals,,,,0,3,7
Aye-aye,Animals,,,,0,3,7
balkan wars,History,,,,1,3,11
Bantu Land Act,History,Event,,1,0,3,14
Adventure Time,TV Show,,,,1,2,14
Anwar Sadat,People and Characters,Politician,,,1,2,11
Alhambra,Geography,Country,,,0,3,8
Between Two Worlds ,Language and Literature ,Book,,,1,3,19
Andorra,Geography,Country,,,1,3,7
"Black Skin, White Masks",Language and Literature ,Book,,,0,3,23
Blobfish,Animals,,,,1,3,8
Bobsleigh,Sports,,,,0,3,9
body is a wonderland,Music,Lyrics,,,1,3,20
Atcha,Food and Drink,,,,1,2,5
Bombardier beetle,Animals,,,,0,3,17
Angkor Wat,Geography,Landmarks,,,0,3,10
Bromine,Math and Science,,,,0,3,7
Buchu,Nature,South Africa,,1,1,3,5
Burger's Daughter ,Language and Literature ,Book,,,0,3,18
Ankara,Geography,City,Capital,,1,3,6
Caber Tossing,Sports,,,,1,3,13
Argentina,Geography,Country,,,0,1,9
Arceus,People and Characters,Pokemon,,,0,3,6
Athens,Geography,City,,,0,2,6
Caracara,Music,Lyrics,,,0,3,8
careless whisper,Music,,,,1,3,16
Chalte Chalte,Movies,,,,1,3,13
Chaos Theory,Math and Science,,,,1,3,12
Charlotte’s Web,Language and Literature ,Book,,,0,3,15
Cheese-rolling,Sports,,,,0,3,14
Australia,Geography,Country,,,1,1,9
China Floods,History,Event,,,0,3,12
Clockwork Princess,Language and Literature ,Book,,,0,3,18
Belize,Geography,Country,,,0,3,6
Complex Numbers,Math and Science,,,,0,3,15
Connect Four,Games,Boardgame,,,1,3,12
Corsair,Companies,,,,0,3,7
Coruscant,Language and Literature ,Places,,,1,3,9
AL CAPONE,TV Show,,,,0,3,9
Crooked Kingdom,Language and Literature ,Book,,,0,3,15
CTEMF,Events,,,1,0,3,5
Altered Carbon,TV Show,,,,1,3,14
Dark Souls,Games,,,,1,3,10
De Oranjes,History,,,,0,3,10
Barakat,Food and Drink,Meal,,1,0,2,7
DevOps,Technology,,,,0,3,6
Die Afrikaanse Patriot,History,South Africa,,1,0,3,22
Digital twins,Technology,,,,1,3,13
Disgrace,Language and Literature ,Book,,,0,3,8
Aristotle,People and Characters,,,,1,3,9
Donga,Culture,,,1,1,3,5
Down Second Avenue,Language and Literature ,Book,,,0,3,18
Amazing Race,TV Show,,,,1,2,12
American Idol,TV Show,,,,0,1,13
dragonball durag,Music,,,,1,3,16
Dunning–Kruger effect,Language and Literature ,,,,1,3,21
Durban July,Events,,,1,0,3,11
Echidna,Animals,,,,0,3,7
Berlin,Geography,City,,,0,2,6
art blakey,People and Characters,Music,Artist,,0,2,10
Blue Cheese,Food and Drink,,,,1,1,11
Equestrianism,Sports,,,,1,3,13
Athol Fugard,People and Characters,,,,1,3,12
Berlin Wall,Geography,Landmarks,,,0,2,11
Awkwafina,People and Characters,Actor,,,1,2,9
Euler's Identity,Math and Science,,,,0,3,16
Fahrenheit 451,Language and Literature ,Book,,,0,3,14
Arrow,TV Show,,,,1,1,5
