Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
1984,Language and Literature ,Book,,,0,3,4
Afrikaans Language Monument,History,triplet,,,0,3,27
African Wormwood,Nature,South Africa,,1,0,3,16
Anglo-Zulu War,History,South Africa,,,0,3,14
Agapanthus,Nature,South Africa,,1,0,3,10
Ahmed Kathrada,People and Characters,Politics,,,0,3,14
AINSLEY HARRIOTT,People and Characters,Food & Drink,Chef,,1,3,16
Broken Telephone,Games,Boardgame,,1,1,1,16
AL CAPONE,TV Show,,,,1,3,9
Alexander Fleming,People and Characters,Math and Science,,,1,3,17
Andon Cord,Technology,,,,0,3,10
The Legend of Zelda,Games,,,,1,3,19
7de Laan,TV Show,,,1,1,1,8
alfred nobel,People and Characters,Math and Science,,,0,3,
Asimbonanga,Music,,,,1,3,11
Alisson Becker,People and Characters,Sports,Soccer,,0,3,14
abacus,Math and Science,,,,0,1,6
auld lang syne,Music,,,,1,3,
Ackermans,Companies,,,,0,1,9
Altered Carbon,TV Show,,,,1,3,14
adidas,Companies,,,,1,1,
Amasie,Food and Drink,,,1,1,3,6
aerodynamics,Math and Science,,,,0,1,12
Amish,People and Characters,,,,0,3,5
MRI SCAN,Technology,,,,0,2,8
Anglo American,Companies,,,1,0,3,14
Now now,Culture,,,1,1,1,7
Bantu Land Act,History,Event,,1,0,3,14
anton rupert,People and Characters,Politics,,,0,3,
Aristotle,People and Characters,,,,1,3,9
quantum computing,Technology,,,,0,3,17
Robots,Technology,,,,0,2,6
body is a wonderland,Music,Lyrics,,,1,3,20
Chalte Chalte,Movies,,,,1,3,13
Caracara,Music,Lyrics,,,1,3,8
Axolotl,Animals,,,,0,3,7
CODESA,History,,,,0,3,6
Bastille Day,Events,,,,1,3,12
algorithm,Math and Science,,,,0,1,9
Benedict Cumberbatch,People and Characters,Actor,,,1,3,20
Bering Strait,Geography,City,,,0,3,13
Between Two Worlds ,Language and Literature ,Book,,,0,3,19
Burger's Daughter ,Language and Literature ,Book,,,0,3,18
In the 18 Area,Music,Lyrics,,,1,3,14
Blobfish,Animals,,,,0,3,8
Alphabet,Companies,,,1,0,1,8
Ismaël Lô,Music,Artist,,,1,3,9
Bokkoms,Food and Drink,,,1,1,3,7
boney m,People and Characters,Music,,,1,3,
American Football,Sports,,,,1,1,17
American Idol,TV Show,,,,1,1,13
Bouldering,Sports,,,,1,3,10
Buchu,Nature,South Africa,,1,0,3,5
maher zain,Music,Artist,,,1,3,10
Charlotte’s Web,Language and Literature ,Book,,,0,3,15
Angelina Jolie,People and Characters,Actor,,,1,1,14
Caber Tossing,Sports,,,,1,3,13
Canberra,Geography,City,,,0,3,8
Trivial Pursuit,Games,Boardgame,,,1,3,15
antarctica,Geography,,,,0,1,10
Cape Verde,Geography,Country,,,0,3,10
antibiotics,Math and Science,,,,0,1,11
Mzanzi Fo sho,Music,,,1,1,3,13
stenography,Technology,,,,0,3,11
Comic Con,Events,,,1,1,2,9
Good Bye Lenin!,Movies,,,,1,3,15
Clockwork Princess,Language and Literature ,Book,,,0,3,18
Argentina,Geography,Country,,,0,1,9
Chichen Itza,Geography,Landmarks,,,0,3,12
Chlorophyll,Math and Science,,,,0,3,11
Crooked Kingdom,Language and Literature ,Book,,,0,3,15
artic,Geography,,,,0,1,5
X-ray,Technology,,,,0,1,5
ASICS,Companies,,,,0,1,5
Gettysburg Address,History,Event,,,0,3,18
Comoros,Geography,Country,,,0,3,7
astronomy,Math and Science,,,,0,1,9
Cowboy Bebop,TV Show,Anime,,,1,3,12
Down Second Avenue,Language and Literature ,Book,,,0,3,18
Athens,Geography,City,,,0,1,6
Athletics,Sports,,,,1,1,9
Athlone,Geography,,,,0,1,7
Day of the Dead,Events,,,,1,3,15
audi,Companies,,,,0,1,
Curb Your Enthusiasm,TV Show,,,,1,3,20
Australia,Geography,Country,,,0,1,9
2-factor authentication,Technology,,,,0,2,23
Avalanche,Nature,,,,0,1,
avocado,Food and Drink,,,,1,1,7
Indaba,Culture,,,1,1,3,6
World of Warcraft,Games,,,,1,3,17
Durban July,Events,,,1,1,3,11
night in tunisia,Music,Song,,,1,3,16
Skyrim,Games,,,,1,3,6
Djibouti,Geography,Country,,,0,3,8
Dunning–Kruger effect,Language and Literature ,,,,0,3,21
DR SEBI,People and Characters,Food & Drink,Nutrionist,,1,3,7
bafana bafana,People and Characters,Sports,,,1,1,13
Isibindi,Culture,,,1,1,3,8
Cause I’m Mr. Brightside,Music,,,,1,3,24
Fahrenheit 451,Language and Literature ,Book,,,0,3,14
King of the air,Events,,,,1,3,15
Empanadas,Food and Drink,Meal,,1,1,3,9
barack obama,People and Characters,,,,0,1,
Erling Haaland,People and Characters,Sports,Soccer,1,0,3,14
Liberation Day,Events,Holidays,,,1,3,14
barbie and ken,People and Characters,,,,0,1,14
Fault in Our Stars,Language and Literature ,Book,,,0,3,18
barney,TV Show,,,,1,1,
Freakonomics,Language and Literature ,Book,,,0,3,12
Fernando Alonso,People and Characters,Sports,F1,,0,3,15
Fibonacci,Math and Science,,,,0,3,9
Goodfellas,Movies,,,,1,3,10
BBC,TV Show,,,,1,1,3
Forbidden City,Geography,Landmarks,,,0,3,14
Grand Budapest Hotel,Movies,,,,1,3,20
Fractals,Math and Science,,,,0,3,8
Kakapo,Animals,,,,0,3,6
ben 10,TV Show,,,,1,1,6
Francois Pienaar,People and Characters,Sports,Rugby,,0,3,16
Benni McCarthy,People and Characters,Sports,,,0,1,14
Franklin D. Roosevelt,People and Characters,Politics,,,0,3,21
Adventures of Huckleberry Finn,Language and Literature ,Book,,,0,2,30
Vulindlela,Music,,,1,1,3,10
Gaborone,Geography,City,Capital,,0,3,8
Gaussian Distribution,Math and Science,,,,0,3,21
Gem Squash,Food and Drink,,,,1,3,10
Gulf War,History,South Africa,,,0,3,8
Big Bang Theory,TV Show,,,,1,1,15
Big Brother,TV Show,,,,1,1,11
Gone with the Wind,Language and Literature ,Book,,,0,3,18
Great Expectations,Language and Literature ,Book,,,0,3,18
bill gates,People and Characters,,,,0,1,
Billabong,Companies,,,,1,1,9
1 2 Step,Music,,,,1,2,8
Grave of the Fireflies,Movies,Anime,,,1,3,22
"Duck, Duck, Goose",Games,,,,1,2,17
Kabhi Kushi Kabhi Gham,Movies,Indian,,,1,3,22
Goulash,Food and Drink,Meal,,,1,3,7
Grillers,Language and Literature ,Book,,1,0,3,8
Kal Ho Naa Ho,Movies,Indian,,,1,3,13
Kat and the Kings,Movies,South Africa,,1,1,3,17
House of Hades,Language and Literature ,Book,,,0,3,14
Black Panther,People and Characters,,,,1,1,13
greenpeace,Companies,,,,0,3,
3d printing,Technology,,,,0,2,11
July's People ,Language and Literature ,Book,,1,0,3,14
Rivonia Trial,History,,,,0,3,13
Mampara,Culture,,,1,1,3,7
Hidden Leaf Village,Geography,Places,,,0,3,19
20 Questions,Games,,,,1,2,
magnum opus,Language and Literature ,,,,0,3,11
Hugh Masekela,People and Characters,Music,,,1,3,13
Blue Cheese,Food and Drink,,,,1,1,11
LED,Technology,,,,0,1,3
BMW,Companies,,,,0,1,3
bob the builder,TV Show,,,,1,1,
Mantis Shrimp,Animals,,,,0,3,13
Idi Amin,People and Characters,Politics,,,0,3,8
All i want for christmas is you,Music,Lyrics,,,1,2,31
Muti,Culture,,,1,1,3,4
Blockchain,Technology,,,,0,2,10
Sarmie,Culture,,,1,1,3,6
Umlungu,Culture,,,1,1,3,7
Boerewors,Food and Drink,,,1,1,1,9
vaalie,Culture,,,1,1,3,6
Kuch Kuch Hota Hai,Movies,Indian,,,1,3,18
all of the lights,Music,Lyrics,,1,1,2,17
jou ma se,Culture,,,1,1,1,9
Jakarta,Geography,City,Capital,,0,3,7
Jenna Marbles,People and Characters,Youtube,,,1,3,13
Johann Rupert,People and Characters,Politics,,1,0,3,13
My sister's keeper,Language and Literature ,Book,,,0,3,18
Perks of being a wallflower,Language and Literature ,Book,,,0,3,27
Kabaddi,Sports,,,,1,3,7
Princess Mononoke,Movies,,,,1,3,17
Kabul,Geography,City ,,,0,3,5
Oppikoppi,Events,,,1,1,3,9
BP,Companies,,,,0,1,2
ballie,Culture,,,1,1,2,6
The French Open,Events,Sports,,,1,2,
Kai Cenat,People and Characters,Streamer,,,1,3,9
Breaking Bad,TV Show,,,,1,1,12
Alpaca,Animals,,,,0,2,6
Brenda Fassie,People and Characters,Music,,1,1,1,13
The Third Reich,History,,,,0,3,15
REQUIEM FOR A DREAM ,Movies,,,,1,3,20
Bronze,Math and Science,,,,0,1,6
Kanto,Geography,Event,,,0,3,5
Broom,Things,,,,1,1,5
Bruce Lee,People and Characters,Sports,,1,0,1,9
Rocky Aur Rani Ki Prem Kahani,Movies,Indian,,,1,3,29
Brunch,Food and Drink,triplets,,,0,1,6
bruno mars,People and Characters,Music,,,1,1,
Bryan Habana,People and Characters,Sports,Rugby,,0,1,12
Rosh Hashanah,Events,,,,1,3,13
noem my skollie,Movies,,,1,1,3,15
Kurosaki Ichigo,People and Characters,Anime,,,1,3,15
Kylian Mbappé,People and Characters,Sports,Soccer,,0,3,13
LaMelo Ball,People and Characters,Sports,Basketball,,0,3,11
Armadillo,Animals,,,,0,2,9
Burger King,Companies,,,,1,1,11
Laos,Geography,City,,,0,3,4
