Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
1984,Language and Literature ,Book,,,0,3,4
Anglo-Zulu War,History,South Africa,,,0,3,14
"[Breakfast, Lunch, Dinner]",Technical,triplets,,,0,1,26
"[Circle, Square, Triangle]",Technical,triplets,,,0,1,26
"[Cut, Copy, Paste]",Technical,triplets,,,0,1,18
"[Drum, Piano, Bass]",Technical,triplets,,,0,2,19
"[Earth, Wind, Fire, Water]",Technical,triplets,,,0,2,26
"[Fork, Spoon, Knife]",Technical,triplets,,,0,1,20
"[Glue, Tape, Stapler]",Technical,triplets,,,0,3,21
"[Morning, Afternoon, Night]",Technical,triplets,,,0,1,27
"[Mouth, Eyes, Nose]",Technical,triplets,,,0,1,19
"[Notes, Chords, Scales]",Technical,triplets,,,0,3,23
"[Onion, Garlic, Ginger]",Technical,triplets,,,0,2,23
"[Park, Neutral, Drive]",Technical,triplets,,,0,2,22
"[Proton, Neutron, Electron]",Technical,triplets,,,0,2,27
"[Red, Green, Yellow]",Technical,triplets,,,0,1,20
"[Shirt, Pants, Jacket]",Technical,triplets,,,0,1,22
"[Sky, Cloud, Rain]",Technical,triplets,,,0,2,18
"[Swim, Jog, Cycle]",Technical,triplets,,,0,2,18
"[Whatsapp, Facebook, Instagram]",Technical,triplets,,,0,2,31
*Climbing*,Actions,,,,1,2,10
*Cooking*,Actions,,,,1,1,9
*Exercising*,Actions,,,,1,1,12
*Flying*,Actions,,,,1,1,8
*Blowing*,Actions,,,,1,2,9
*Hitchhiking*,Actions,,,,1,1,13
*Knitting*,Actions,,,,1,2,10
*Mexican wave*,Actions,,,,1,1,14
*Painting*,Actions,,,,1,2,10
*Running*,Actions,,,,1,1,9
*Shooting*,Actions,,,,1,1,10
*Snorkelling*,Actions,,,,1,2,13
*Surfing*,Actions,,,,1,1,9
*Sweeping*,Actions,,,,1,1,10
*Kicking*,Actions,,,,1,1,9
*typing*,Actions,,,,1,1,8
*walking*,Actions,,,,1,1,9
*Washing*,Actions,,,,1,1,9
achy breaky heart,Music,,,,1,1,17
2-factor authentication,Technology,,,,0,2,23
7de Laan,TV Show,,,1,1,1,8
Dark Souls,Games,,,,1,3,10
3d printing,Technology,,,,1,2,11
house of cronies,Games,Boardgame,,1,1,3,16
5th generation,Technology,,,,0,2,14
Metal Gear Solid,Games,,,,1,3,16
American Idol,TV Show,,,,1,1,13
Ahmed Kathrada,People and Characters,Politician,,,1,3,14
abacus,Math and Science,,,,1,1,6
All the Single Ladies,Music,Lyrics,,,1,1,21
Ackermans,Companies,,,,0,1,9
AINSLEY HARRIOTT,People and Characters,,,,1,3,16
BBC,TV Show,,,,1,1,3
aerodynamics,Math and Science,,,,0,1,12
African Wormwood,Nature,South Africa,,1,0,3,16
AfrikaBurn,Events,,,1,0,2,10
Hawker,Culture,,,1,0,3,6
Agapanthus,Nature,South Africa,,1,0,3,10
agter 'n baard,Language and Literature ,Book,,1,0,3,14
Alan Turing,People and Characters,,,,1,3,11
Alexander Fleming,People and Characters,,,,1,3,17
Air Fryer,Things,,,,1,1,9
AK-47,Things,,,,0,1,5
ben 10,TV Show,,,,1,1,6
Chalte Chalte,Movies,,,,1,3,13
Alfredo Bowman,People and Characters,,,,1,3,14
albaraka bank,Companies,,,1,0,2,13
Between Two Worlds ,Language and Literature ,Book,,,0,3,19
alchemy,Math and Science,,,,0,2,7
Alisson Becker,People and Characters,Sports,Soccer,,1,3,14
Amish,People and Characters,,,,1,3,5
algorithm,Math and Science,,,,0,1,9
"Black Skin, White Masks",Language and Literature ,Book,,,0,3,23
